postal_cd,consultant_names,consultant_num,num_districts_served,num_clean_districts_served,num_dirty_districts_served,num_fiber_target_districts_served,num_potential_fiber_target_districts_served,num_not_fiber_target_districts_served,num_no_data_fiber_districts_served,num_bw_target_districts_served,num_potential_bw_target_districts_served,num_not_bw_target_districts_served,num_no_data_bw_districts_served,num_meeting_affordability_districts_served,num_not_meeting_affordability_districts_served,num_unknown_affordability_districts_served,num_fiber_or_bw_target_districts_served,num_fiber_or_bw_potential_target_districts_served,num_applications
IL,Educational Consortium for Telecom Savings,16024807,19,16,3,3,3,13,0,2,3,14,0,9,7,3,5,6,20
IL,Elert & Associates,16043588,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
IL,Epic Communications,16048924,2,1,1,0,0,2,0,0,0,2,0,1,0,1,0,0,2
IL,E-Rate Advantage,16060670,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
IL,E-Rate Central,16060891,11,8,3,1,3,7,0,2,1,8,0,5,3,3,3,3,13
IL,E-Rate Complete,16043592,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
IL,Erate Compliance,16062554,4,4,0,1,1,2,0,2,0,2,0,4,0,0,3,1,4
IL,"E-Rate Elite Services, Inc.",16024803,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
IL,E-Rate First,16065884,2,1,1,0,1,1,0,0,0,2,0,0,1,1,0,1,2
IL,"E-Rate Funding Services, LLC",16082747,8,8,0,1,0,7,0,1,0,7,0,5,3,0,2,0,8
IL,E-Rate Funding Solutions LLC,16070846,31,27,4,4,4,23,0,7,4,20,0,18,9,4,10,7,33
IL,E-RATE ONLINE LLC,16048791,23,16,7,0,4,19,0,2,4,17,0,10,6,7,2,6,24
IL,E-Rate Professional$.com,16062265,5,4,1,0,2,3,0,0,0,5,0,4,0,1,0,2,5
IL,"ERateProgram, LLC",16048902,9,7,2,0,2,7,0,3,0,4,2,5,2,2,3,2,10
IL,"eRate Solutions, L.L.C.",16024804,3,3,0,1,0,2,0,1,0,2,0,2,1,0,1,0,3
IL,E-Rate Support Services,16062647,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1
IL,Federal Funds Assistant,16062923,8,7,1,0,0,8,0,1,0,7,0,5,2,1,1,0,8
IL,Generex Consulting,16075503,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
IL,GETFUNDED,16057463,3,3,0,0,1,2,0,0,0,3,0,2,1,0,0,1,4
IL,"INFINITE CONNECTIONS, INC.",16062454,21,17,4,0,4,17,0,1,2,17,1,6,11,4,1,5,22
IL,K12 Consultants,16043612,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
IL,Mesa Internetworking eDesign and Project Mnagement Services LLC,16062414,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
IL,"Modern Erate, LLC",17000019,3,2,1,0,2,1,0,0,0,3,0,1,1,1,0,2,4
IL,New Hope Technology Foundation,16054699,26,24,2,3,2,21,0,4,2,20,0,9,15,2,6,4,41
IL,"Scaletta Consulting, LLC",16062027,8,6,2,1,2,5,0,1,1,5,1,3,3,2,2,2,11
IL,Telesolutions Consultants LLC,16043677,91,78,13,7,12,72,0,8,6,77,0,36,42,13,15,16,135
IL,Utilityhelp Inc,17004666,2,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2
IL,Wilson Consulting,17009791,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
IL,"Zeller and Associates, LLC",16051885,23,22,1,5,0,18,0,4,0,19,0,12,10,1,7,0,27
IN,AdTec-Administrative & Technical Consulting,16024741,287,256,31,12,71,204,0,28,18,240,1,18,238,31,38,72,464
IN,BTU Consultants,16049611,3,2,1,1,1,1,0,0,1,2,0,0,2,1,1,1,9
IN,Educational Funding Group,16043587,2,1,1,0,2,0,0,0,1,1,0,0,1,1,0,2,5
IN,Epic Communications,16048924,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3
IN,Generex Consulting,16075503,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
IN,Northern Indiana Educational Service Center,16069228,6,6,0,0,1,5,0,0,0,6,0,1,5,0,0,1,9
KS,BTU Consultants,16049611,5,4,1,0,0,5,0,1,0,4,0,1,3,1,1,0,5
KS,CRW Consulting,16024800,9,9,0,2,2,5,0,2,0,7,0,3,6,0,4,2,10
KS,CTI eRate Services,16043573,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
KS,"eRate Solutions, L.L.C.",16024804,26,26,0,3,0,23,0,3,0,23,0,3,23,0,5,0,31
KS,ESSDACK,16062692,26,26,0,5,1,20,0,1,0,25,0,17,9,0,6,1,26
KS,Smoky Hill Education Service Center,16049052,45,44,1,9,0,36,0,2,1,42,0,38,6,1,11,1,46
KS,South Central Kansas Education Service Center,16062519,14,14,0,2,3,9,0,0,0,14,0,5,9,0,2,3,20
KS,Southeast Kansas Education Service Center,16062002,52,51,1,8,3,41,0,7,1,44,0,15,36,1,14,4,55
KS,Southwest Plains Regional Service Center,16062590,23,21,2,3,1,19,0,0,0,23,0,11,10,2,3,1,24
KY,AdTec-Administrative & Technical Consulting,16024741,4,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4
KY,"e2e Exchange, LLC",16043595,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
KY,K12 Consultants,16043612,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
KY,Lite the Nite Technologies LLC,16072341,4,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4
LA,Allen & Allen Consulting LLC,16060634,4,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4
LA,Educational Professional Services,16071123,26,23,3,2,1,23,0,4,3,19,0,6,17,3,6,3,28
LA,"Education Partners Solution, Inc.",16043584,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,5
LA,"E-Rate 360 Solutions, LLC",16048893,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
LA,E-Rate Central,16060891,3,3,0,0,1,2,0,0,0,3,0,2,1,0,0,1,3
LA,Funds for Learning,16024808,3,3,0,0,0,3,0,2,0,1,0,1,2,0,2,0,3
LA,GETFUNDED,16057463,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
LA,"Kellogg & Sovereign Consulting, LLC",16024809,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
