postal_cd,district_size,percent,n_districts_size,n_districts,n_schools,n_students
SC,Mega,2.380952381,2,84,1146,690456
SC,Large,25,21,84,1146,690456
SC,Medium,40.47619048,34,84,1146,690456
SC,Small,28.57142857,24,84,1146,690456
SC,Tiny,3.571428571,3,84,1146,690456
SC Clean,Mega,2.469135802,2,81,1095,654868
SC Clean,Large,23.45679012,19,81,1095,654868
SC Clean,Medium,41.97530864,34,81,1095,654868
SC Clean,Small,28.39506173,23,81,1095,654868
SC Clean,Tiny,3.703703704,3,81,1095,654868
SD,Large,1.324503311,2,151,696,127141
SD,Medium,17.21854305,26,151,696,127141
SD,Small,81.45695364,123,151,696,127141
SD Clean,Large,0.787401575,1,127,563,94346
SD Clean,Medium,15.7480315,20,127,563,94346
SD Clean,Small,83.46456693,106,127,563,94346
TN,Mega,3.649635036,5,137,1766,953483
TN,Large,15.32846715,21,137,1766,953483
TN,Medium,48.17518248,66,137,1766,953483
TN,Small,26.27737226,36,137,1766,953483
TN,Tiny,6.569343066,9,137,1766,953483
TN Clean,Mega,2.459016393,3,122,1366,716245
TN Clean,Large,15.57377049,19,122,1366,716245
TN Clean,Medium,45.90163934,56,122,1366,716245
TN Clean,Small,28.68852459,35,122,1366,716245
TN Clean,Tiny,7.37704918,9,122,1366,716245
TX,Mega,2.631578947,27,1026,8487,4625771
TX,Large,7.602339181,78,1026,8487,4625771
TX,Medium,20.66276803,212,1026,8487,4625771
TX,Small,55.65302144,571,1026,8487,4625771
TX,Tiny,13.4502924,138,1026,8487,4625771
TX Clean,Mega,2.527472527,23,910,7316,3842632
TX Clean,Large,7.252747253,66,910,7316,3842632
TX Clean,Medium,20.21978022,184,910,7316,3842632
TX Clean,Small,56.81318681,517,910,7316,3842632
TX Clean,Tiny,13.18681319,120,910,7316,3842632
UT,Mega,9.756097561,4,41,918,549430
UT,Large,26.82926829,11,41,918,549430
UT,Medium,41.46341463,17,41,918,549430
UT,Small,21.95121951,9,41,918,549430
UT Clean,Mega,10.25641026,4,39,878,528817
UT Clean,Large,25.64102564,10,39,878,528817
UT Clean,Medium,41.02564103,16,39,878,528817
UT Clean,Small,23.07692308,9,39,878,528817
VA,Mega,5.384615385,7,130,1958,1216812
VA,Large,20.76923077,27,130,1958,1216812
VA,Medium,37.69230769,49,130,1958,1216812
VA,Small,36.15384615,47,130,1958,1216812
VA Clean,Mega,5.691056911,7,123,1827,1127619
VA Clean,Large,19.51219512,24,123,1827,1127619
VA Clean,Medium,37.39837398,46,123,1827,1127619
VA Clean,Small,37.39837398,46,123,1827,1127619
VT,Medium,41.37931034,24,58,312,78919
VT,Small,53.44827586,31,58,312,78919
VT,Tiny,5.172413793,3,58,312,78919
VT Clean,Medium,35.55555556,16,45,228,59155
VT Clean,Small,57.77777778,26,45,228,59155
VT Clean,Tiny,6.666666667,3,45,228,59155
WA,Mega,1.355932203,4,295,2307,1038436
WA,Large,10.50847458,31,295,2307,1038436
WA,Medium,26.10169492,77,295,2307,1038436
WA,Small,43.72881356,129,295,2307,1038436
WA,Tiny,18.30508475,54,295,2307,1038436
WA Clean,Mega,0.754716981,2,265,1799,757458
WA Clean,Large,8.679245283,23,265,1799,757458
WA Clean,Medium,25.66037736,68,265,1799,757458
WA Clean,Small,46.03773585,122,265,1799,757458
WA Clean,Tiny,18.86792453,50,265,1799,757458
WI,Mega,0.472813239,2,423,1943,776606
WI,Large,3.073286052,13,423,1943,776606
WI,Medium,13.94799054,59,423,1943,776606
WI,Small,70.21276596,297,423,1943,776606
WI,Tiny,12.29314421,52,423,1943,776606
WI Clean,Mega,0.364963504,1,274,1234,474943
WI Clean,Large,1.824817518,5,274,1234,474943
WI Clean,Medium,14.96350365,41,274,1234,474943
WI Clean,Small,71.53284672,196,274,1234,474943
WI Clean,Tiny,11.31386861,31,274,1234,474943
WV,Mega,1.818181818,1,55,738,266543
WV,Large,29.09090909,16,55,738,266543
WV,Medium,49.09090909,27,55,738,266543
WV,Small,20,11,55,738,266543
WV Clean,Mega,2,1,50,704,255383
WV Clean,Large,32,16,50,704,255383
WV Clean,Medium,50,25,50,704,255383
WV Clean,Small,16,8,50,704,255383
WY,Large,8.333333333,4,48,348,90624
WY,Medium,39.58333333,19,48,348,90624
WY,Small,45.83333333,22,48,348,90624
WY,Tiny,6.25,3,48,348,90624
WY Clean,Large,11.11111111,3,27,230,68335
WY Clean,Medium,40.74074074,11,27,230,68335
WY Clean,Small,40.74074074,11,27,230,68335
WY Clean,Tiny,7.407407407,2,27,230,68335
