"nces_cd","name","locale","district_size","num_schools","num_students","frl_percent","address","city","zip","county","postal_cd","latitude","longitude","exclude_from_analysis","ia_bandwidth_per_student","meeting_2014_goal_no_oversub","meeting_2018_goal_oversub","monthly_ia_cost_per_mbps","total_ia_bw_mbps","total_ia_monthly_cost","gt_1g_wan_lines","lt_1g_fiber_wan_lines","lt_1g_nonfiber_wan_lines","meeting_2014_goal_no_oversub_fcc_25","meeting_2018_goal_oversub_fcc_25","meeting_goals_district","exclude","not_all_scalable","new_connect_type_goals","c1_discount_rate","zero_build_cost_to_district","n_schools_wan_needs","n_schools_in_wan_needs_calculation","schools_on_fiber","schools_may_need_upgrades","schools_need_upgrades"
2102860,"HOPKINS COUNTY","Small Town","Large",18,6916,0.516114593,"320 SOUTH SEMINARY","MADISONVI",42431,"HOPKINS COUNTY","KY",37.323836,-87.503024,FALSE,144.59,"Meeting Goal","Not Meeting 2018 Goals",9.711666667,999.98444,9711.515553,14,1,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,13,15,18,0,0
2102910,"JACKSON INDEPENDENT","Small Town","Tiny",1,411,0.597674419,"940 HIGHLAND AVE","JACKSON",41339,"BREATHITT COUNTY","KY",37.553701,-83.381304,TRUE,NA,"Not Meeting Goal","Not Meeting 2018 Goals",NA,NA,NA,0,0,0,FALSE,FALSE,0,"Dirty",1,"Other / Uncategorized",80,1,0,0,0,1,0
2102940,"JACKSON COUNTY","Rural","Medium",6,2182,0.709390863,"HWY 421","MCKEE",40447,"JACKSON COUNTY","KY",37.363241,-83.90801,FALSE,114.57,"Meeting Goal","Not Meeting 2018 Goals",20.76916667,249.99174,5192.120113,0,5,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,5,5,6,0,0
2102990,"JEFFERSON COUNTY","Urban","Mega",169,96386,0.593922762,"3332 NEWBURG RD","LOUISVILLE",40232,"JEFFERSON COUNTY","KY",38.200054,-85.684968,FALSE,103.75,"Meeting Goal","Not Meeting 2018 Goals",5.394166667,10000.0475,53941.92289,147,13,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,147,171,169,0,0
2103000,"JENKINS INDEPENDENT","Rural","Tiny",1,547,0.705372617,"9409 HWY 805","JENKINS",41537,"LETCHER COUNTY","KY",37.17132,-82.63474,FALSE,182.82,"Meeting Goal","Not Meeting 2018 Goals",39.87,100.00254,3987.10127,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,1,0,0
2103030,"JESSAMINE COUNTY","Small Town","Medium",12,7729,0.524264521,"501 EAST MAPLE","NICHOLASVILLE",40356,"JESSAMINE COUNTY","KY",37.87943,-84.565741,FALSE,129.38,"Meeting Goal","Not Meeting 2018 Goals",10.01,999.97802,10009.77998,12,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,11,11,12,0,0
2103060,"JOHNSON COUNTY","Small Town","Medium",12,3729,0.713127615,"253 NORTH MAYO","PAINTSVILLE",41240,"JOHNSON COUNTY","KY",37.81951,-82.81603,FALSE,134.08,"Meeting Goal","Not Meeting 2018 Goals",14.385,499.98432,7192.274443,3,6,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,8,9,10,2,0
2103090,"KENTON COUNTY","Suburban","Large",25,14324,0.318342873,"20 KENTON LANDS","ERLANGER",41018,"KENTON COUNTY","KY",39.023188,-84.59014,FALSE,139.63,"Meeting Goal","Not Meeting 2018 Goals",8.365,2000.06012,16730.5029,17,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",60,0,18,20,23.6842105263158,1.31578947368421,0
2103120,"KNOTT COUNTY","Rural","Medium",8,2436,0.745476003,"RT 160","HINDMAN",41822,"KNOTT COUNTY","KY",37.294871,-82.944369,FALSE,102.63,"Meeting Goal","Not Meeting 2018 Goals",21.14166667,250.00668,5285.557893,0,7,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,7,7,8,0,0
2103150,"KNOX COUNTY","Small Town","Medium",12,4408,0.645658881,"200 DANIEL BOONE","BARBOURVILL",40906,"KNOX COUNTY","KY",36.865601,-83.887781,FALSE,114.11,"Meeting Goal","Not Meeting 2018 Goals",14.945,502.99688,7517.288372,15,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,9,11,12,0,0
2103180,"LARUE COUNTY","Rural","Small",5,2355,0.569879015,"2375 LINCOLN FARM RD","HODGENVILLE",42748,"LARUE COUNTY","KY",37.54033,-85.735151,FALSE,424.63,"Meeting Goal","Not Meeting 2018 Goals",NA,1000.00365,NA,3,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,4,5,5,0,0
2103210,"LAUREL COUNTY","Small Town","Large",21,9310,0.633649789,"275 SOUTH LAUREL RD","LONDON",40744,"LAUREL COUNTY","KY",37.102684,-84.070082,FALSE,107.41,"Meeting Goal","Not Meeting 2018 Goals",10.58916667,999.9871,10589.03007,32,0,1,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,15,17,21,0,0
2103240,"LAWRENCE COUNTY","Small Town","Medium",6,2404,0.647128713,"HWY 644","LOUISA",41230,"LAWRENCE COUNTY","KY",38.079422,-82.599798,FALSE,103.99,"Meeting Goal","Not Meeting 2018 Goals",21.09416667,249.99196,5273.37207,4,2,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,6,7,6,0,0
2103270,"LEE COUNTY","Rural","Small",5,1077,0.775301764,"58 CENTER ST","BEATTYVILLE",41311,"LEE COUNTY","KY",37.57274,-83.71022,FALSE,92.85,"Not Meeting Goal","Not Meeting 2018 Goals",41.81333333,99.99945,4181.310336,2,0,0,FALSE,FALSE,0,"Clean",1,"Fiber",80,1,4,4,3.75,1.25,0
