frn_complete,false,plf
1699104307.0010002,0.0224528,0.9775472
1699105617.0010002,0.0237947,0.9762053
1699109244.0010002,0.0236499,0.9763501
1699000504.0010002,0.9992631,0.0007369
1699000668.0010002,0.0241817,0.9758183
1699001118.0010002,0.0360500,0.9639500
1699039242.0010002,0.0347234,0.9652766
1699039242.0020001,0.0237485,0.9762515
1699039242.0029998,0.0237485,0.9762515
1699002921.0010002,0.0262898,0.9737102
1699002970.0010002,0.0313626,0.9686374
1699004475.0010002,0.0229578,0.9770422
1699006140.0010002,0.0471147,0.9528853
1699008363.0010002,0.0658228,0.9341772
1699010211.0010002,0.0339604,0.9660396
1699010570.0020001,0.9992410,0.0007590
1699012854.0010002,0.0339604,0.9660396
1699010726.0010002,0.0366053,0.9633947
1699011166.0010002,0.0587983,0.9412017
1699011886.0010002,0.0360500,0.9639500
1699051346.0010002,0.0262898,0.9737102
1699051346.0020001,0.0321186,0.9678814
1699051346.0039999,0.0264989,0.9735011
1699051346.0050001,0.0321186,0.9678814
1699051346.0060000,0.0264989,0.9735011
1699051346.0070002,0.0264989,0.9735011
1699051346.0079999,0.0267019,0.9732981
1699051346.0089998,0.0267019,0.9732981
1699051346.0100000,0.0267019,0.9732981
1699051346.0129998,0.0267019,0.9732981
1699018322.0010002,0.9832314,0.0167686
1699012671.0020001,0.9601665,0.0398335
1699012827.0010002,0.0358310,0.9641690
1699012853.0010002,0.0360500,0.9639500
1699013007.0010002,0.0355928,0.9644072
1699013015.0010002,0.0273108,0.9726892
1699015049.0010002,0.0607953,0.9392047
1699019365.0010002,0.0270671,0.9729329
1699017607.0010002,0.0294051,0.9705949
1699015979.0010002,0.0280053,0.9719947
1699015984.0010002,0.0353383,0.9646617
1699016024.0010002,0.0360500,0.9639500
1699016721.0010002,0.0406502,0.9593498
1699017180.0010002,0.0355928,0.9644072
1699017062.0010002,0.0367034,0.9632966
1699017290.0010002,0.0416739,0.9583261
1699017345.0020001,0.9528078,0.0471922
1699018005.0010002,0.0355928,0.9644072
1699018221.0010002,0.0360500,0.9639500
1699032480.0010002,0.0336224,0.9663776
1699020121.0010002,0.9982621,0.0017379
1699020125.0010002,0.0353739,0.9646261
1699030319.0010002,0.0235394,0.9764606
1699020907.0010002,0.0351643,0.9648357
1699020910.0010002,0.0355928,0.9644072
1699021417.0010002,0.0213674,0.9786326
1699021911.0010002,0.9706140,0.0293860
1699022312.0010002,0.0225244,0.9774756
1699022390.0010002,0.0336446,0.9663554
1699023225.0010002,0.0280053,0.9719947
1699029643.0010002,0.0355928,0.9644072
1699110644.0010002,0.9399326,0.0600674
1699025403.0010002,0.0263145,0.9736855
1699025418.0010002,0.0353383,0.9646617
1699025615.0010002,0.0355928,0.9644072
1699025626.0010002,0.0316908,0.9683092
1699027732.0010002,0.0213674,0.9786326
1699029769.0010002,0.0360500,0.9639500
1699030476.0010002,0.0339604,0.9660396
1699031054.0010002,0.0358310,0.9641690
1699031241.0010002,0.0273108,0.9726892
1699092239.0020001,0.0225244,0.9774756
1699032164.0010002,0.0219651,0.9780349
1699032164.0020001,0.0219651,0.9780349
1699033063.0020001,0.0262898,0.9737102
1699039520.0010002,0.0288988,0.9711012
1699043527.0010002,0.0328434,0.9671566
1699033744.0010002,0.0355928,0.9644072
