verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly,clean_the_line_item
Fiber,Fiber,Other / Uncategorized,2792128-1,TRUE,TRUE
Fiber,Fiber,Fiber,2792136-1,TRUE,FALSE
Fiber,Fiber,Fiber,2792447-2,TRUE,FALSE
Fiber,Fiber,Fiber,2792447-4,TRUE,FALSE
Fiber,Fiber,Fiber,2792509-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2793098-1,TRUE,TRUE
Fiber,Fiber,Fiber,2794209-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2794251-1,TRUE,TRUE
Fiber,Fiber,Fiber,2794253-1,TRUE,FALSE
Fiber,Fiber,Fiber,2794253-2,TRUE,FALSE
Fiber,Fiber,Fiber,2794840-1,TRUE,FALSE
Fiber,Fiber,Fiber,2795018-1,TRUE,FALSE
Fiber,Fiber,Cable / DSL,2795190-1,TRUE,TRUE
Cable / DSL,Fiber,Other / Uncategorized,2795309-1,FALSE,FALSE
Fiber,Fiber,Fiber,2796015-3,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2796574-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2798274-1,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Fiber,2798837-1,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2798837-13,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2798837-14,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2798837-19,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2798837-20,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2798837-24,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Fiber,2798984-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2799034-1,TRUE,TRUE
Fiber,Fiber,Fiber,2799745-3,TRUE,FALSE
Fiber,Fiber,Fiber,2800246-2,TRUE,FALSE
Copper,Copper,Copper,2800692-1,TRUE,FALSE
Fiber,Fiber,Fiber,2801086-1,TRUE,FALSE
Fiber,Fiber,Fiber,2801104-1,TRUE,FALSE
Fiber,Fiber,Cable / DSL,2801595-1,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Fiber,2801706-1,TRUE,TRUE
Fiber,Fiber,Fiber,2802342-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2802399-1,TRUE,FALSE
Fiber,Fiber,Fiber,2803127-1,TRUE,FALSE
Fiber,Fiber,Copper,2803236-1,TRUE,TRUE
Fiber,Fiber,Fiber,2803722-2,TRUE,FALSE
Fiber,Fiber,Fiber,2803775-1,TRUE,FALSE
Fiber,Fiber,Fiber,2804030-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2804098-1,TRUE,FALSE
Cable / DSL,Cable / DSL,Other / Uncategorized,2804525-1,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2805228-1,TRUE,FALSE
Fiber,Fiber,Fiber,2805666-1,TRUE,FALSE
Fiber,Fiber,Fiber,2805666-4,TRUE,FALSE
Copper,Copper,Other / Uncategorized,2805666-5,TRUE,TRUE
Fiber,Fiber,Fiber,2806457-1,TRUE,FALSE
Fiber,Fiber,Fiber,2806571-2,TRUE,FALSE
Fiber,Fiber,Fiber,2806688-2,TRUE,FALSE
Fiber,Fiber,Fiber,2807364-1,TRUE,FALSE
Fiber,Fiber,Fiber,2807921-1,TRUE,FALSE
Fiber,Fiber,Fiber,2808057-1,TRUE,FALSE
Fiber,Fiber,Fiber,2808437-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2809664-1,TRUE,FALSE
Fiber,Other / Uncategorized,Fiber,2810118-1,FALSE,FALSE
Other / Uncategorized,Fiber,Other / Uncategorized,2810753-1,FALSE,FALSE
Fixed Wireless,Fiber,Other / Uncategorized,2810775-1,FALSE,FALSE
Fixed Wireless,Fiber,Other / Uncategorized,2810775-3,FALSE,FALSE
Fiber,Fixed Wireless,Fiber,2812063-1,FALSE,FALSE
Fiber,Fiber,Fiber,2812065-2,TRUE,FALSE
Copper,Copper,Copper,2812385-1,TRUE,FALSE
Fixed Wireless,Fixed Wireless,Fixed Wireless,2813439-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2813641-1,TRUE,TRUE
Fiber,Fiber,Fiber,2814859-1,TRUE,FALSE
Fiber,Fiber,Fiber,2814997-4,TRUE,FALSE
Fiber,Fiber,Fiber,2815148-1,TRUE,FALSE
Fiber,Fiber,Fiber,2815482-1,TRUE,FALSE
Copper,Copper,Other / Uncategorized,2815487-1,TRUE,TRUE
Fiber,Fiber,Fiber,2815501-1,TRUE,FALSE
Fiber,Fiber,Fiber,2816265-2,TRUE,FALSE
Fiber,Fiber,Fiber,2816288-3,TRUE,FALSE
Fiber,Fiber,Fiber,2816288-3,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Fiber,2816972-1,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2817144-1,TRUE,FALSE
Fiber,Fiber,Fiber,2817235-3,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2817420-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2817537-1,TRUE,TRUE
Fiber,Fiber,Fiber,2818260-1,TRUE,FALSE
