line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
817943,954293,Consortium,125521,INTERMEDIATE UNIT 06,PA,1019629,2817387,6,Internet,N,1414,Multi-Protocol Label Switching (MPLS),Other / Uncategorized,17,0,5758,69096,"Affiniti PA ,LLC",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
817965,953761,District,125952,EAST STROUDSBURG AREA SCH DIST,PA,1019900,2767669,1,Transport,Y,10000,Ethernet,Fiber,1,0,3475,41700,PenTeleData Limited Partnership I,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2020 0:00
817966,953761,District,125952,EAST STROUDSBURG AREA SCH DIST,PA,1019900,2767669,2,Transport,Y,10000,Ethernet,Fiber,1,0,3200,38400,PenTeleData Limited Partnership I,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2020 0:00
817967,953761,District,125952,EAST STROUDSBURG AREA SCH DIST,PA,1019900,2767669,3,Transport,Y,10000,Ethernet,Fiber,1,0,3350,40200,PenTeleData Limited Partnership I,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2020 0:00
817969,953761,District,125952,EAST STROUDSBURG AREA SCH DIST,PA,1019900,2767669,6,Transport,Y,1000,Ethernet,Fiber,6,0,9900,118800,PenTeleData Limited Partnership I,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2020 0:00
818012,954176,District,125837,WARRIOR RUN SCHOOL DISTRICT,PA,1020077,2768001,1,Transport and Internet,N,100,Ethernet,Other / Uncategorized,1,360,3367.33,40767.96,PenTeleData Limited Partnership I,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2017 0:00
818449,953763,District,125781,EASTERN YORK SCHOOL DISTRICT,PA,1021095,2770849,1,Transport,N,100,"E.g., Microwave Service",Fixed Wireless,4,0,3120.6,37447.2,"Conterra Ultra Broadband, LLC",TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
818634,954187,District,125644,WEST BRANCH AREA SCHOOL DIST,PA,1021870,2823657,1,Transport and Internet,N,10,Cable Modem,Cable / DSL,1,0,62,744,Comcast Business Communications,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
818959,953926,District,125184,MONESSEN CITY SCHOOL DISTRICT,PA,1023783,2779425,1,Transport,Y,1000,Lit Fiber Service,Fiber,5,0,10042.81,120513.72,"Sunesys, LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,2/5/2019 0:00
818969,954183,District,125951,WEATHERLY AREA SCHOOL DISTRICT,PA,1023887,2779175,1,Transport and Internet,Y,100,Ethernet,Other / Uncategorized,1,0,1808.49,21701.88,PenTeleData Limited Partnership I,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
819165,953842,District,125800,HEMPFIELD SCHOOL DISTRICT,PA,1024444,2780998,1,Transport,Y,0,Ethernet,Other / Uncategorized,2,0,1133.88,13606.56,Comcast Business Communications,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2020 0:00
