line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
200820,902037,District,130196,COMMUNITY SCHOOLS OF FRANKFORT,IN,1011952,2803809,1,Transport,Y,1000,Lit Fiber Service,Fiber,5,0,5600,67200,"ENA Services, LLC",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
200835,901936,District,130178,ALEXANDRIA COMM SCHOOL CORP,IN,1002770,2725770,1,Internet,N,600,Lit Fiber Service,Fiber,1,0,7725,92700,"ENA Services, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
200848,902037,District,130196,COMMUNITY SCHOOLS OF FRANKFORT,IN,1011952,2803775,1,Internet,N,300,Lit Fiber Service,Fiber,1,0,12400,148800,"ENA Services, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
200944,903447,District,137833,CEDAR VALE UNIF SCH DIST 285,KS,1031485,2805264,1,Internet,N,50,Lit Fiber Service,Fiber,1,0,1586.88,19042.56,"KanREN, Inc.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
200969,904438,District,129038,CUMBERLAND COUNTY SCHOOL DIST,KY,1025562,2785151,1,Internet,N,1.5,DS-1 (T-1),Copper,1,0,39.95,479.4,"Windstream Communications, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
201171,911130,District,120605,HANOVER PUBLIC  SCHOOLS,MA,1014584,2753337,1,Internet,N,75,Lit Fiber Service,Fiber,6,0,918.94,11027.28,Verizon Online LLC,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
201518,922606,District,133636,FRIDLEY SCHOOL DISTRICT 14,MN,997617,2719781,1,Internet,N,400,Lit Fiber Service,Fiber,1,0,5646,67752,TIES (Technology and Information Educational Services),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2019 0:00
201536,922794,District,133717,TRITON SCHOOL DISTRICT 2125,MN,1019871,2780674,1,Internet,N,100,Lit Fiber Service,Fiber,1,0,2315,27780,Southeast Minnesota Network (SEMNET),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
201609,1016127,OtherLocation,64745,THE MARSHALL SCHOOL,MN,1031171,2805178,1,Internet,N,200,Lit Fiber Service,Fiber,1,0,989.99,11879.88,Northeast Service Cooperative,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2020 0:00
201955,1017037,OtherLocation,16075890,RANKIN COUNTY JUVENILE DETENSION CENTER,MS,1027306,2804663,1,Transport,Y,1000,Lit Fiber Service,Fiber,1,0,715,8580,"Telepak Networks, Inc.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
202150,937572,District,121269,SCHOOL ADMINISTRATIVE UNIT 21,NH,1026464,2802003,1,Internet,N,100,Cable Modem,Cable / DSL,1,0,109.9,1318.8,Comcast Business Communications,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
202155,937572,District,121269,SCHOOL ADMINISTRATIVE UNIT 21,NH,1026464,2802080,1,Internet,N,100,Cable Modem,Cable / DSL,1,0,219.9,2638.8,Comcast Business Communications,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
202156,937572,District,121269,SCHOOL ADMINISTRATIVE UNIT 21,NH,1026464,2802111,1,Internet,N,100,Cable Modem,Cable / DSL,1,0,127.85,1534.2,Comcast Business Communications,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
202157,937572,District,121269,SCHOOL ADMINISTRATIVE UNIT 21,NH,1026464,2802139,1,Internet,N,100,Cable Modem,Cable / DSL,1,0,189.95,2279.4,Comcast Business Communications,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
202158,937572,District,121269,SCHOOL ADMINISTRATIVE UNIT 21,NH,1026464,2802152,1,Internet,N,100,Cable Modem,Cable / DSL,1,0,289.9,3478.8,Comcast Business Communications,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
202159,937572,District,121269,SCHOOL ADMINISTRATIVE UNIT 21,NH,1026464,2802022,1,Internet,N,100,Cable Modem,Cable / DSL,1,0,217.85,2614.2,Comcast Business Communications,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
202165,937572,District,121269,SCHOOL ADMINISTRATIVE UNIT 21,NH,1026464,2804525,1,Internet,N,10,Cable Modem,Cable / DSL,1,0,68.99,827.88,Enhanced Communications of Northern New England LLC,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
202548,942879,District,143366,CAPITAN MUNICIPAL SCHOOL DIST,NM,1002455,2784688,1,Internet,N,50,Lit Fiber Service,Fiber,1,0,1728,20736,TDS Baja Broadband LLC,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2017 0:00
203189,943399,District,143434,CARSON CITY SCHOOL DISTRICT,NV,1006200,2755153,2,Transport,Y,50,Lit Fiber Service,Fiber,2,0,890,10680,AT&T Mobility,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2019 0:00
203191,943399,District,143434,CARSON CITY SCHOOL DISTRICT,NV,1006200,2755153,5,Transport,Y,10,Lit Fiber Service,Fiber,11,0,2925,35100,AT&T Mobility,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2019 0:00
203196,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000960,2799745,1,Transport,N,10000,Lit Fiber Service,Fiber,1,0,4200,50400,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6/30/2016 0:00
203197,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000960,2799745,2,Internet,N,10000,Standalone Internet Access,Other / Uncategorized,1,0,31500,378000,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
203198,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000960,2799745,3,Transport,N,10000,Lit Fiber Service,Fiber,1,0,4200,50400,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6/30/2016 0:00
203199,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000960,2799745,4,Internet,N,10000,Standalone Internet Access,Other / Uncategorized,1,0,31500,378000,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
203205,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000678,2805666,6,Transport,Y,1.5,DS-1 (T-1),Copper,1,0,780.88,9370.56,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
