line_item_id,service_provider_name,postal_cd,bandwidth_in_mbps,num_students,connect_category,cost_per_line,frn_complete
810023,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,1896,Fiber,13800.0,2727391-1
810025,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,1896,Fiber,13800.0,2727423-1
810026,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,1896,Fiber,19477.56,2727434-1
810027,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,1896,Fiber,13800.0,2727439-1
810040,Molalla Telephone Company,OR,1000.0,2765,Fiber,149976.0,2727637-1
810042,County of Clackamas,OR,1000.0,2765,Fiber,3336.72,2727645-1
810055,Inland Development Corporation,OR,100.0,2261,Fiber,6720.0,2727686-1
810056,Inland Development Corporation,OR,250.0,2261,Fiber,8688.0,2727686-2
810078,Inland Development Corporation,OR,250.0,273,Fiber,8688.0,2728647-1
810114,Charter Communications,OR,80.0,3310,Other / Uncategorized,1560.0,2815408-1
810115,"Hunter Communications, Inc.",OR,1000.0,3310,Fiber,4686.0,2815482-1
810116,"Hunter Communications, Inc.",OR,1000.0,3310,Fiber,5940.0,2815520-1
810117,"Hunter Communications, Inc.",OR,100.0,3310,Other / Uncategorized,5400.0,2815544-1
810134,Wtechlink Inc,OR,500.0,1296,Fixed Wireless,10500.0,2729712-1
810137,Douglas Sevices Inc,OR,100.0,518,Other / Uncategorized,14259.6,2737140-1
810162,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,3304,Fiber,16860.96,2729846-1
810177,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,365,Fiber,13800.0,2730320-1
810178,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,365,Fiber,13800.0,2730324-1
810179,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,365,Fiber,13800.0,2730330-1
810209,TDS Baja Broadband LLC,OR,750.0,7084,Fiber,21000.0,2730820-1
810224,"Charter Fiberlink OR-CCVII, LLC",OR,100.0,,Other / Uncategorized,22758.96,2731808-1
810245,Inland Development Corporation,OR,100.0,513,Fiber,6720.0,2731973-1
810278,Inland Development Corporation,OR,100.0,1409,Fiber,2700.0,2732232-1
810279,Inland Development Corporation,OR,250.0,1409,Fiber,7400.0,2732232-2
810280,Inland Development Corporation,OR,5.0,1409,Other / Uncategorized,16270.0,2821149-1
810292,Wtechlink Inc,OR,100.0,888,Fixed Wireless,7200.0,2732318-1
810308,Douglas Sevices Inc,OR,100.0,324,Other / Uncategorized,14259.6,2735745-1
810310,Central Lincoln PUD,OR,1000.0,5261,Fiber,4833.12,2733849-1
810325,Charter Communications,OR,10.0,5261,Other / Uncategorized,9114.0,2733946-1
810326,"CoastCom, Inc",OR,500.0,5261,Fiber,8228.88,2734912-1
810327,"CoastCom, Inc",OR,1000.0,5261,Fiber,20572.2,2736168-1
810328,"CoastCom, Inc",OR,1000.0,5261,Fiber,54859.2,2736184-1
810329,"CoastCom, Inc",OR,500.0,5261,Fiber,8228.88,2736194-1
810330,"CoastCom, Inc",OR,1000.0,5261,Fiber,20572.2,2736209-1
810331,"CoastCom, Inc",OR,500.0,5261,Fiber,8228.88,2736214-1
810332,"CoastCom, Inc",OR,5.0,5261,Other / Uncategorized,3428.76,2736221-1
810333,"CoastCom, Inc",OR,1000.0,5261,Fiber,20572.2,2736227-1
810334,"CoastCom, Inc",OR,4.0,5261,Other / Uncategorized,20572.2,2736231-1
811567,CenturyLink Qwest Corporation,OR,155.5,17029,Fiber,7210.02,2750347-1
811568,CenturyLink Qwest Corporation,OR,45.0,17029,Copper,3231.24,2750347-2
811572,Peak Internet Access,OR,10.0,17029,Other / Uncategorized,30000.0,2750759-1
811582,City of Portland,OR,400.0,72,Fiber,8452.08,2749751-5
811584,City of Portland,OR,1000.0,72,Fiber,14514.96,2749751-7
811646,Douglas Sevices Inc,OR,100.0,349,Fiber,14334.6,2829510-1
811665,County of Clackamas,OR,0.0,17048,Fiber,3060.0,2775335-1
811681,"Hunter Communications, Inc.",OR,1000.0,,Fiber,10200.0,2768821-2
811685,"Comspan Communications, Inc",OR,100.0,891,Other / Uncategorized,0,2792060-2
811686,"Comspan Communications, Inc",OR,100.0,891,Other / Uncategorized,0,2792060-3
811697,"Charter Fiberlink OR-CCVII, LLC",OR,30.0,503,Other / Uncategorized,5468.4,2799910-1
811720,Comcast Business Communications,OR,1000.0,8699,Fiber,12614.4,2760380-1
811764,"Charter Fiberlink OR-CCVII, LLC",OR,50.0,716,Fiber,8564.16,2783121-1
