"esh_id","name","postal_cd","c2_prediscount_budget_15","c2_prediscount_remaining_17","c2_postdiscount_remaining_17","needs_wifi"
"951763","Verden Indep School Dist 99","OK",52179.8,7223.81,6140.2385,"f"
"951772","Vinita Indep School Dist 65","OK",224833.55,33550.23,26840.184,"f"
"951781","Warner Indep School Dist 74","OK",123696.82,11919.22,9535.376,"f"
"951783","Watonga Indep School Dist 42","OK",115716.38,0,0,"t"
"951785","Watts School District 4","OK",45427.12,0,0,"f"
"951788","Waurika Indep School Dist 23","OK",63383.11,0,0,"f"
"951790","Wayne Indep School District 10","OK",83948.09,11575.8,9485.5545,"f"
"951793","Weatherford School District 26","OK",346995.67,23501.45,16451.015,"t"
"951795","Webbers Falls School Dist I 6","OK",38111.69,0,0,"f"
"951796","Welch Indep School District 17","OK",49570.81,4922.91,3446.037,"f"
"951803","Wetumka Indep School Dist 5","OK",72130.9,0,0,"t"
"951810","Whitefield","OK",24248.26,785.26,628.208,"f"
"951806","White Oak Indep School Dist 1","OK",9412.8,244.2,207.57,"f"
"951812","Whitesboro Indep Sch Dist 62","OK",33456.46,3268.96,2778.616,"f"
"951733","Woodland School Dist I 90","OK",62462.29,0,0,"f"
"951824","Wright City School District 39","OK",69879.98,1117.3,935.565,"f"
"951833","Wynona Indep School Dist 30","OK",19695.29,7.57,6.056,"f"
"951834","Yale Public Schools","OK",66605.98,3010.37,2558.8145,"f"
"951839","Zaneis School District 72","OK",44813.24,5945.24,5053.454,"f"
"952139","Alsea School District 7 J","OR",22406.62,0,0,"f"
"952191","Crow-Applegate-Lorane Sd 66","OR",41743.84,3596.54,2688.324,"f"
"952193","Culver School District 4","OR",106201.24,0,0,"f"
"952199","Dayton School District 8","OR",150400.6,11226.4,8981.12,"t"
"952215","Fern Ridge School Dist 28 J","OR",204728.98,0,0,"t"
"952221","Frenchglen Sd 16","OR",9412.8,0,0,NA
"952102","Gervais School District 1","OR",164264.03,0,0,"f"
"952104","Harrisburg School Dist 7","OR",138736.88,7882.88,6306.304,"f"
"952252","La Grande School District 1","OR",362189.2,1192.05,953.64,"f"
"952256","Lebanon Community Sch Dist #9","OR",599146.88,41683.38,30728.5645,"f"
"952259","Lowell School District 71","OR",49263.87,0,0,NA
"952260","Mapleton School District 32","OR",23941.32,220.3,187.255,"t"
"952266","Milton Freewtr Unif Sch Dist 7","OR",265963.51,6108.41,4886.728,"t"
"952278","North Bend School District 13","OR",356203.87,38114.86,22868.916,"t"
"952205","North Douglas School Dist 22","OR",45580.59,0,0,"f"
"952325","North Lake School District","OR",35144.63,2823.42,2258.736,"t"
"952282","Nyssa School District 26","OR",176030.09,0,0,"f"
"952283","Oakland School District 1","OR",82873.8,7010.8,5359.047,"f"
"952301","Pleasant Hill School Dist 1","OR",152395.71,0,0,"t"
"952304","Portland Public Schools","OR",6823122.73,571106.41,321789.822,"t"
"952308","Redmond School District 2 J","OR",986658.63,83993.01,65351.3675,"t"
"952315","Salem-Keizer School Dist 24 J","OR",6299790.03,109924.13,81581.685,"f"
"952265","Santiam Canyon Sch Dist 129 J","OR",85329.32,5128.8,4103.04,"f"
"952327","Sisters School District 6","OR",166514.95,0,0,"f"
"952329","South Umpqua School Dist 19","OR",218848.22,14049.98,11500.495,"f"
"952334","Stanfield School District 61 R","OR",84715.44,12060.37,9648.296,"f"
"952338","Sutherlin School District 130","OR",202273.46,8409.93,6727.944,"t"
"952352","West Linn-Wilsonville Dist 3 J","OR",1412998.29,133176.4,56436.559,"f"
"952357","Yoncalla School District 32","OR",37293.21,332.1,282.285,"f"
"953623","Austin Area School District","PA",32075.23,982.13,785.704,"f"
"953635","Bedford Area School District","PA",287142.37,15144.03,12115.224,"f"
"953637","Belle Vernon Area School Dist","PA",513971.03,21397.3,10698.65,"t"
"953639","Bellwood Antis School District","PA",199817.94,6541.79,3925.074,"f"
"953645","Bermudian Springs School Dist","PA",312925.33,37696.6,25450.57,"f"
"953648","Bethlehem Area School Dist","PA",2132772.59,271361.44,184934.0885,"f"
"953651","Big Spring Sd","PA",395185.25,29682.78,17809.668,NA
