"esh_id","postal_cd","service_provider_2015","service_provider_2016","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis","bandwidth_in_mbps_2016","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","district_name","locale","num_students_2015","num_students_2016","upgrade","meeting_goals_2015","meeting_goals_2016","sp_bw_per_student_2015","sp_bw_per_student_2016","sp_meeting_goals_2015","sp_meeting_goals_2016","sp_change","Freq","same","override","contract_ended_between_years","affordability_goal_knapsack_2015","district_ia_monthly_cost_per_mbps_2015","affordability_goal_knapsack_2016","district_ia_monthly_cost_per_mbps_2016","district_size","purpose2_2015","purpose2_2016","eligible_for_cost_per_mbps","sp_ia_monthly_cost_per_mbps_2015","sp_ia_monthly_cost_per_mbps_2016","bw.change","bw.change.perc","total.cost.change","total.cost.change.perc","cost.per.mbps.change","cost.per.mbps.change.perc"
881574,"CA","Time Warner Cable","Charter",1000,"2018-06-30","Internet",1,6642,TRUE,FALSE,5000,"2018-06-30","Internet",1,12144.6,TRUE,FALSE,"LAKE ELSINORE UNF","Suburban",21504,21965,TRUE,FALSE,TRUE,46.5029761904762,227.634873662645,FALSE,TRUE,0,100,1,NA,FALSE,FALSE,6.64166666666667,FALSE,2.42892,"Large","Internet","Internet",1,6.64,2.43,4000,4,5502.6,0.83,-4.21,-0.63
881577,"CA","Sunesys, LLC","Sunesys, LLC",1000,"2016-06-30","Upstream",1,1545,TRUE,FALSE,1000,"2018-07-31","Upstream",1,1548.18,TRUE,FALSE,"TEMECULA VALLEY UNF","Urban",28706,30030,FALSE,FALSE,FALSE,34.8359228035951,33.3000333000333,FALSE,FALSE,0,NA,NA,NA,TRUE,FALSE,7.695,TRUE,2.07189590220572,"Large","Upstream","Upstream",1,1.54,1.55,0,0,3.18000000000006,0,0.01,0.01
881578,"AL","Computer Sciences","Computer Sciences",400,"2016-06-30","Upstream",1,2340.18,TRUE,FALSE,250,"2021-06-30","Internet",1,2891.08,TRUE,FALSE,"ANNISTON CITY","Urban",2028,1996,FALSE,TRUE,TRUE,197.23865877712,125.250501002004,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,7.6925,FALSE,11.56432,"Medium","Upstream","Internet",NA,NA,NA,-150,-0.38,550.9,0.24,NA,NA
881584,"AL","Computer Sciences","Computer Sciences",800,"2016-06-30","Upstream",1,5533.6,TRUE,FALSE,750,"2021-06-30","Internet",1,5447.51,TRUE,FALSE,"ARAB CITY","Rural",2518,2589,FALSE,TRUE,TRUE,317.712470214456,289.687137891078,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,8.06083333333333,FALSE,7.26334666666667,"Small","Upstream","Internet",NA,NA,NA,-50,-0.06,-86.0900000000001,-0.02,NA,NA
881588,"AL","Computer Sciences","Computer Sciences",800,"2016-06-30","Upstream",1,1498.65,TRUE,FALSE,1000,"2021-06-30","Internet",1,4808.82,TRUE,FALSE,"ATHENS CITY","Small Town",3179,3241,TRUE,TRUE,TRUE,251.651462724127,308.546744831842,TRUE,TRUE,0,NA,NA,NA,TRUE,TRUE,3.31666666666667,FALSE,4.80882,"Medium","Upstream","Internet",NA,NA,NA,200,0.25,3310.17,2.21,NA,NA
881591,"CA","LACOE","LACOE",1000,"2016-06-30","Internet",1,0,TRUE,FALSE,10000,"2019-06-30","Internet",1,0,TRUE,FALSE,"REDONDO BEACH UNF","Suburban",8925,9008,TRUE,TRUE,TRUE,112.044817927171,1110.1243339254,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,5.03666666666667,TRUE,0.380844058205315,"Medium","Internet","Internet",1,0,0,9000,9,0,NA,0,NA
881597,"CA","Conterra, LLC","Comcast",1000,"2018-07-31","Upstream",1,1650.41,TRUE,FALSE,2000,"2021-06-30","Upstream",1,1881.26,TRUE,FALSE,"DOS PALOS ORO LOMA JOINT UNF","Small Town",2265,2379,TRUE,TRUE,TRUE,441.501103752759,840.689365279529,TRUE,TRUE,1,NA,NA,NA,FALSE,TRUE,2.13583333333333,TRUE,1.03526777804794,"Medium","Upstream","Upstream",1,1.65,0.94,1000,1,230.85,0.14,-0.71,-0.43
881601,"CA","AT&T","AT&T",100,"2018-02-10","Upstream",1,755.47,TRUE,FALSE,250,"2018-02-10","Upstream",1,1032.11,TRUE,FALSE,"WINDSOR UNF","Suburban",4277,5394,TRUE,FALSE,FALSE,23.3808744447042,46.347793845013,FALSE,FALSE,0,NA,NA,NA,FALSE,TRUE,8.60833333333333,TRUE,5.12955319909063,"Medium","Upstream","Upstream",1,7.55,4.13,150,1.5,276.64,0.37,-3.42,-0.45
881605,"CA","CVIN, LLC","CVIN, LLC",200,"2017-06-30","Upstream",1,2809.2,TRUE,FALSE,200,"2017-06-30","Upstream",1,2809.2,TRUE,FALSE,"FARMERSVILLE UNF","Suburban",2646,2604,FALSE,FALSE,FALSE,75.5857898715042,76.8049155145929,FALSE,FALSE,0,NA,NA,NA,FALSE,FALSE,21.88,FALSE,19.046,"Medium","Upstream","Upstream",1,14.05,14.05,0,0,0,0,0,0
881606,"AR","Nexus Systems, Inc.","Nexus Systems, Inc.",200,"2019-06-30","Internet",1,2960,TRUE,FALSE,200,"2019-06-30","Internet",0.98,2960,TRUE,FALSE,"HAMBURG SCHOOL DISTRICT","Small Town",1896,1921,FALSE,TRUE,TRUE,105.485232067511,104.112441436752,TRUE,TRUE,0,NA,NA,NA,FALSE,FALSE,14.8,FALSE,26.5155182783728,"Small","Internet","Internet",1,14.8,14.8,0,0,0,0,0,0
881616,"AR","South AR Tele","South AR Tele",100,"2017-03-16","Internet",1,1199.99,TRUE,FALSE,1000,"2017-06-30","Upstream",1,1160,TRUE,FALSE,"MAGNOLIA SCHOOL DISTRICT","Small Town",2725,2746,TRUE,FALSE,TRUE,36.697247706422,364.166059723234,FALSE,TRUE,0,NA,NA,NA,FALSE,TRUE,12,TRUE,2.4208635491141,"Small","Internet","Upstream",NA,NA,NA,900,9,-39.99,-0.03,NA,NA
881622,"AR","E. Ritter","E. Ritter",250,"2020-06-30","Internet",1,0,TRUE,FALSE,500,"2017-06-30","Upstream",1,363,TRUE,FALSE,"SO. MISS. COUNTY SCHOOL DIST.","Rural",1302,1272,TRUE,TRUE,TRUE,192.012288786482,393.081761006289,TRUE,TRUE,0,NA,NA,NA,FALSE,NA,NA,TRUE,1.89411247958713,"Small","Internet","Upstream",NA,NA,NA,250,1,363,Inf,NA,NA
881623,"AL","Computer Sciences","Computer Sciences",400,"2016-06-30","Upstream",1,1214.65,TRUE,FALSE,500,"2021-06-30","Internet",1,3486.93,TRUE,FALSE,"ATTALLA CITY","Suburban",1776,1747,TRUE,TRUE,TRUE,225.225225225225,286.204922724671,TRUE,TRUE,0,NA,NA,NA,TRUE,TRUE,4.65,FALSE,6.97386,"Small","Upstream","Internet",NA,NA,NA,100,0.25,2272.28,1.87,NA,NA
881626,"AR","E. Ritter","E. Ritter",100,"2016-06-30","Internet",1,1500,TRUE,FALSE,500,"2017-06-30","Upstream",1,363,TRUE,FALSE,"MANILA SCHOOL DISTRICT","Rural",1024,1052,TRUE,FALSE,TRUE,97.65625,475.285171102662,FALSE,TRUE,0,NA,NA,NA,TRUE,TRUE,15,TRUE,1.69208044695414,"Small","Internet","Upstream",NA,NA,NA,400,4,-1137,-0.76,NA,NA
881634,"AR","E. Ritter","E. Ritter",200,"2020-06-30","Internet",1,3800,TRUE,FALSE,500,"2017-06-30","Upstream",1,363,TRUE,FALSE,"TRUMANN SCHOOL DISTRICT","Small Town",1569,1609,TRUE,TRUE,TRUE,127.469725940089,310.752019888129,TRUE,TRUE,0,NA,NA,NA,FALSE,FALSE,19,TRUE,2.20358882048404,"Small","Internet","Upstream",NA,NA,NA,300,1.5,-3437,-0.9,NA,NA
881639,"AR","E. Ritter","E. Ritter",75,"2016-06-30","Internet",1,1287.5,TRUE,FALSE,250,"2017-06-30","Upstream",1,232,TRUE,FALSE,"EAST POINSETT CO. SCHOOL DIST.","Rural",709,719,TRUE,TRUE,TRUE,105.782792665726,347.705146036161,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,17.1666666666667,TRUE,2.24855483148294,"Small","Internet","Upstream",NA,NA,NA,175,2.33,-1055.5,-0.82,NA,NA
