"esh_id","name","num_students","ia_bw_mbps_total","district_bw_per_student","district_meeting_goals_2014","service_provider_2016","bandwidth_in_mbps_2016","sp_bw_per_student","sp_meeting_goals_2014","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","locale","district_size","city","postal_cd","zip"
969864,"PLAINVIEW ISD",5186,500,96.4134207481681,0,"AT&T",500,96.4134207481681,0,"2017-06-30","Internet",1,2978.75,TRUE,FALSE,"Town","Medium","PLAINVIEW","TX",79072
969866,"PLANO ISD",53158,6000,112.871063621656,1,"AT&T",6000,112.871063621656,1,"2018-07-27","Internet",1,20639.9,TRUE,TRUE,"Urban","Mega","PLANO","TX",75075
969867,"PLEASANT GROVE ISD",1938,800,412.796697626419,1,"Windstream",800,412.796697626419,1,"2018-06-30","Internet",1,5000,TRUE,FALSE,"Urban","Small","TEXARKANA","TX",75503
969869,"PLEASANTON ISD",3353,1100,328.064419922457,1,"AT&T",1100,328.064419922457,1,"2017-06-30","Internet",1,5439.37,TRUE,FALSE,"Town","Medium","PLEASANTON","TX",78064
969874,"PORT ARANSAS ISD",500,500,1000,1,"CenturyLink",500,1000,1,"2021-06-30","Internet",1,2980,TRUE,FALSE,"Rural","Small","PORT ARANSAS","TX",78373
969875,"PORT ARTHUR ISD",8353,3300,395.06764036873,1,"AT&T",3000,359.152400335209,1,"2018-06-30","Internet",0.91,11897.72,TRUE,TRUE,"Urban","Large","PORT ARTHUR","TX",77642
969878,"POTEET ISD",1667,1000,599.880023995201,1,"AT&T",1000,599.880023995201,1,"2019-06-30","Internet",1,3501.6,TRUE,FALSE,"Town","Small","POTEET","TX",78065
969880,"POTH ISD",826,80,96.8523002421308,0,"Verizon",80,96.8523002421308,0,"2019-06-30","Internet",1,6229.06,TRUE,FALSE,"Rural","Small","POTH","TX",78147
969883,"POTTSBORO ISD",1309,150,114.591291061879,1,"AT&T",150,114.591291061879,1,"2018-06-30","Internet",1,1735.95,TRUE,FALSE,"Suburban","Small","POTTSBORO","TX",75076
969890,"PREMONT ISD",541,100,184.842883548983,1,"Charter",100,184.842883548983,1,"2017-06-30","Internet",1,1654,TRUE,FALSE,"Town","Small","PREMONT","TX",78375
969894,"PRINCETON ISD",3453,500,144.801621778164,1,"Cogent",500,144.801621778164,1,"2017-06-30","Internet",1,4450,TRUE,FALSE,"Suburban","Medium","PRINCETON","TX",75407
969899,"PROSPER ISD",6183,6000,970.402717127608,1,"Zayo Group, LLC",5000,808.668930939673,1,"2019-06-30","Internet",0.83,5100,TRUE,TRUE,"Rural","Medium","PROSPER","TX",75078
969900,"QUANAH ISD",502,30,59.7609561752988,0,"AT&T",2000,3984.06374501992,1,"2018-06-30","Upstream",1,1123.08,TRUE,FALSE,"Rural","Small","QUANAH","TX",79252
969906,"QUITMAN ISD",1086,300,276.243093922652,1,"Cebridge",200,184.162062615101,1,"2017-06-30","Upstream",0.67,1175,TRUE,FALSE,"Town","Small","QUITMAN","TX",75783
969918,"RED OAK ISD",5444,250,45.9221160911095,0,"Cogent",250,45.9221160911095,0,"2017-06-30","Internet",1,3888,TRUE,FALSE,"Suburban","Medium","RED OAK","TX",75154
969923,"RICE CISD",1202,500,415.973377703827,1,"AT&T",500,415.973377703827,1,"2017-06-30","Internet",1,4112,TRUE,FALSE,"Rural","Medium","ALTAIR","TX",77412
969927,"RIESEL ISD",569,100,175.746924428822,1,"Windstream",100,175.746924428822,1,"2017-06-30","Internet",1,2665,TRUE,FALSE,"Rural","Small","RIESEL","TX",76682
969928,"RIO GRANDE CITY CISD",10199,1000,98.0488283165016,0,"Charter",1000,98.0488283165016,0,"2017-06-30","Internet",1,4600,TRUE,FALSE,"Town","Medium","RIO GRANDE CITY","TX",78582
969931,"RIO HONDO ISD",2041,2400,1175.89416952474,1,"AT&T",2000,979.911807937286,1,"2018-06-30","Upstream",0.83,1425,TRUE,TRUE,"Town","Small","RIO HONDO","TX",78583
969937,"ROBINSON ISD",2239,2000,893.255917820456,1,"Grande Comm",2000,893.255917820456,1,"2020-06-30","Internet",1,3100,TRUE,FALSE,"Rural","Small","ROBINSON","TX",76706
969945,"ROCKWALL ISD",14244,1000,70.2049985959,0,"Charter",1000,70.2049985959,0,"2019-06-30","Internet",1,4080,TRUE,FALSE,"Suburban","Large","ROCKWALL","TX",75087
969952,"ROSEBUD-LOTT ISD",605,300,495.867768595041,1,"Windstream",300,495.867768595041,1,"2018-06-30","Internet",1,4800,TRUE,FALSE,"Rural","Medium","LOTT","TX",76656
