QA Switched?,notes,esh_id,service_provider_2015,service_provider_2016,bandwidth_in_mbps_2015,contract_end_date_2015,percent_bw_2015,predominant_sp_2015,exclude_from_analysis,bandwidth_in_mbps_2016,contract_end_date_2016,percent_bw_2016,predominant_sp_2016,exclude_from_ia_analysis,postal_cd,district_name,locale,num_students_2015,num_students_2016,upgrade,meeting_goals_2015,meeting_goals_2016,sp_bw_per_student_2015,sp_bw_per_student_2016,sp_meeting_goals_2015,sp_meeting_goals_2016,sp_change,Freq,same,contract_ended_between_years,affordability_goal_knapsack_2015,ia_monthly_cost_per_mbps_2015,affordability_goal_knapsack_2016,ia_monthly_cost_per_mbps_2016,NOTES
,,882660,Telecomm Mgmt,E. Ritter,200,6/30/16,1,TRUE,FALSE,250,6/30/17,0.56,TRUE,FALSE,AR,PIGGOTT SCHOOL DISTRICT,Small Town,891,897,TRUE,TRUE,TRUE,224.4668911,278.7068004,TRUE,TRUE,1,NA,NA,TRUE,FALSE,15.75,FALSE,9.728313699,
,,882663,"Alascom, Inc.",GCI Comm,10,6/30/16,1,TRUE,FALSE,10,6/30/19,1,TRUE,FALSE,AK,HOONAH CITY SCHOOL DISTRICT,Rural,116,104,FALSE,FALSE,FALSE,86.20689655,96.15384615,FALSE,FALSE,1,NA,NA,TRUE,FALSE,717.4525,FALSE,1074.3,
,,882680,GCI Comm,Alaska Comm,500,6/30/16,1,TRUE,FALSE,800,6/30/17,1,TRUE,FALSE,AK,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,Rural,8063,8740,TRUE,FALSE,FALSE,62.01165819,91.53318078,FALSE,FALSE,1,NA,NA,TRUE,FALSE,36.4,FALSE,7.5,
,,882696,SE CO Power,"SECOM,Inc",50,6/30/18,1,TRUE,FALSE,50,6/30/17,1,TRUE,FALSE,CO,WILEY SCHOOL DISTRICT NO. RE-13 JT,Rural,222,209,TRUE,TRUE,TRUE,225.2252252,239.2344498,TRUE,TRUE,1,NA,NA,FALSE,TRUE,10,TRUE,8.333333333,
,,882698,CenturyLink,"Zayo Group, LLC",500,6/30/16,1,TRUE,FALSE,1000,6/30/19,1,TRUE,FALSE,CO,WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-4,Suburban,4162,4690,TRUE,TRUE,TRUE,120.1345507,213.2196162,TRUE,TRUE,1,NA,NA,TRUE,TRUE,5.45,TRUE,2.95,
,,882699,Windstream,Cox,2000,6/30/16,1,TRUE,FALSE,4000,6/30/17,1,TRUE,FALSE,AR,ROGERS SCHOOL DISTRICT,Urban,14452,14757,TRUE,TRUE,TRUE,138.3891503,271.0578031,TRUE,TRUE,1,NA,NA,TRUE,TRUE,3.2925,FALSE,2.492891963,
,,882725,AT&T,E. Ritter,200,6/30/18,1,TRUE,FALSE,1000,6/30/17,1,TRUE,FALSE,AR,SEARCY SCHOOL DISTRICT,Small Town,4186,4213,TRUE,FALSE,TRUE,47.77830865,237.3605507,FALSE,TRUE,1,NA,NA,FALSE,TRUE,8.775,TRUE,2.431639382,
,,882729,AT&T,Charter,1001.5,6/30/18,0.91,TRUE,FALSE,1000,6/30/18,1,TRUE,FALSE,CA,ATASCADERO UNF,Suburban,4784,4675,TRUE,FALSE,TRUE,209.3436455,213.9037433,TRUE,TRUE,1,14,0,FALSE,FALSE,12.26666667,TRUE,1.436103835,
,,882749,"LasVegas.Net, LLC",Time Warner Cable Business LLC,50,6/30/16,1,TRUE,FALSE,10000,6/30/17,1,TRUE,FALSE,CA,BAKER VALLEY UNF,Rural,187,171,TRUE,TRUE,TRUE,267.3796791,58479.53216,TRUE,TRUE,1,NA,NA,TRUE,FALSE,76.6025,TRUE,0.172963493,
,,882751,Winstream,AT&T,100,6/30/16,1,TRUE,FALSE,100,6/30/17,0.69,TRUE,FALSE,AR,SO. CONWAY CO. SCHOOL DISTRICT,Small Town,2206,2231,TRUE,FALSE,FALSE,45.33091568,44.82294935,FALSE,FALSE,1,NA,NA,TRUE,FALSE,34.065,FALSE,30.93112342,
