"esh_id","service_provider_2016","bandwidth_in_mbps_2016","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis"
881894,"SECOM,Inc",500,"2019-06-30","Internet",1,2950,TRUE,FALSE
881896,"CenturyLink",6,"2017-06-30","Upstream",1,1398,TRUE,TRUE
881897,"Computer Sciences",1000,"2021-06-30","Internet",1,4541.15,TRUE,FALSE
881899,"Charter",100,"2019-06-30","Internet",0.98,105.28,TRUE,NA
881899,"Verizon",1.54,"2017-06-30","Internet",0.02,78.99,FALSE,NA
881900,"Crestone Tele",300,"2017-06-30","Internet",1,1915,TRUE,FALSE
881901,"CenturyLink",150,"2017-06-30","Upstream",1,754,TRUE,FALSE
881902,"Computer Sciences",750,"2021-06-30","Internet",1,3928.87,TRUE,FALSE
881904,"AT&T",11000,"2018-06-30","Upstream",1,7376.44,TRUE,NA
881905,"SECOM,Inc",300,"2017-06-30","Internet",1,1900,TRUE,FALSE
881907,"Computer Sciences",750,"2021-06-30","Internet",1,4302.03,TRUE,FALSE
881909,"Windstream",1000,"2017-06-30","Internet",0.25,3559.41,FALSE,FALSE
881909,"CenturyLink",3000,"2017-06-30","Internet",0.75,11100,TRUE,FALSE
881910,"CenturyLink",160,"2017-06-30","Internet, Upstream",1,8786,TRUE,FALSE
881913,"CenturyLink",300,"2017-06-30","Internet",1,4237,TRUE,FALSE
881915,"Charter",15,"2017-06-30","Internet",1,699.99,TRUE,NA
881918,"Zayo Group, LLC",100,"2019-06-30","Internet",1,905.2,TRUE,FALSE
881920,"Computer Sciences",750,"2021-06-30","Internet",1,5783.71,TRUE,FALSE
881921,"AT&T",500,"2017-06-30","Upstream",1,1006,TRUE,FALSE
881924,"Brainstorm Internet",150,"2017-06-30","Internet",1,1394,TRUE,FALSE
881925,"Computer Sciences",500,"2021-06-30","Internet",1,3456.3,TRUE,FALSE
881927,"E. Ritter",150,"2017-06-30","Upstream",1,203,TRUE,FALSE
881928,"Charter",10000,"2020-06-30","Internet",1,17500,TRUE,NA
881929,"CenturyLink",20,"2017-06-30","Internet",1,1495.24,TRUE,FALSE
881930,"Level 3",2000,"2017-06-30","Internet",1,8545.6,TRUE,FALSE
881931,"Computer Sciences",750,"2021-06-30","Internet",1,6768.73,TRUE,FALSE
881932,"E. Ritter",1000,"2017-06-30","Upstream",1,478,TRUE,FALSE
881936,"CONTACT NETWORK, LLC",150,"2018-06-30","Internet",0.17,2684,FALSE,FALSE
881936,"Computer Sciences",750,"2021-06-30","Internet",0.83,4279.88,TRUE,FALSE
881937,"AT&T",550,"2017-06-30","Upstream, Internet",0.79,5243.94,TRUE,FALSE
881937,"Windstream",150,"2017-06-30","Internet",0.21,3554.06,FALSE,FALSE
881938,"City of Cortez",1000,"2017-06-30","Internet",1,1278.4,TRUE,FALSE
881940,"Ponderosa Cablevis",1000,"2017-06-30","Internet",1,7753.57,TRUE,TRUE
881941,"Computer Sciences",1500,"2021-06-30","Internet",1,8280.27,TRUE,FALSE
881942,"Cox",900,"2017-06-30","Upstream, Internet",1,4204,TRUE,FALSE
881943,"CenturyLink",50,"2021-06-30","Internet",1,3434,TRUE,FALSE
881944,"Login",40,"2017-06-30","Internet",1,2965.9,TRUE,FALSE
881946,"Computer Sciences",750,"2021-06-30","Internet",1,4297.07,TRUE,FALSE
881947,"San Luis Valley Coop",100,"2018-06-30","Internet",1,89.95,TRUE,FALSE
881948,"Cox",4100,"2017-06-30","Upstream",1,4112,TRUE,FALSE
881951,"Computer Sciences",1000,"2021-06-30","Internet",1,7628.33,TRUE,FALSE
881952,"Windstream",500,"2020-06-30","Internet",0.98,3000,TRUE,FALSE
881952,"Cox",10,"2017-06-30","Upstream",0.02,697.84,FALSE,FALSE
881954,"Computer Sciences",500,"2021-06-30","Internet",1,5106.24,TRUE,FALSE
881955,"Cox",1000,"2017-06-30","Upstream",1,1502,TRUE,FALSE
881957,"Verizon",70,"2019-06-30","Internet",1,2340,TRUE,FALSE
881958,"Computer Sciences",500,"2021-06-30","Internet",1,6963.61,TRUE,FALSE
881959,"Central Arkansas",250,"2017-06-30","Upstream",1,787,TRUE,FALSE
881961,"SECOM,Inc",125,"2018-06-30","Internet",1,1200,TRUE,FALSE
881962,"Computer Sciences",500,"2021-06-30","Internet",1,3485.25,TRUE,FALSE
881964,"CenturyLink",150,"2017-06-30","Upstream",1,1508,TRUE,FALSE
881965,"Zippytech",1244,"2017-07-01","Internet",1,1100,TRUE,FALSE
881966,"Computer Sciences",500,"2021-06-30","Internet",1,3548.95,TRUE,FALSE
881968,"E. Ritter",1000,"2017-06-30","Upstream",1,479,TRUE,FALSE
881969,"Affiniti",1000,"2019-06-30","Upstream",1,1599,TRUE,FALSE
881971,"Computer Sciences",500,"2021-06-30","Internet",1,3261.75,TRUE,FALSE
