"esh_id","service_provider_2015","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis"
965911,"South Dakota Network",100,"2016-06-30","Upstream",0.98,1829.71830985915,TRUE,FALSE
965911,"Golden West",2,"2016-06-30","Internet",0.02,39.95,FALSE,FALSE
965913,"South Dakota Network",100,"2016-06-30","Upstream",0.76,1829.71830985915,TRUE,FALSE
965913,"Golden West",25,"2016-06-30","Internet",0.19,99.95,FALSE,FALSE
965913,"Santel Comm",6,"2016-06-30","Internet",0.05,96.12,FALSE,FALSE
965915,"Clarity",100,"2016-06-30","Internet",0.67,150,TRUE,FALSE
965915,"South Dakota Network",50,"2016-06-30","Upstream",0.33,1272.91666666667,FALSE,FALSE
965917,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965918,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965919,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965923,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965924,"South Dakota Network",250,"2016-06-30","Upstream",1,3625.09090909091,TRUE,FALSE
965925,"South Dakota Network",250,"2016-06-30","Upstream",1,3625.09090909091,TRUE,FALSE
965926,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965927,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965928,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965929,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965930,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965931,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965935,"South Dakota Network",100,"2016-06-30","Upstream",0.71,1829.71830985915,TRUE,FALSE
965935,"Valley",40,"2016-06-30","Internet",0.29,177,FALSE,FALSE
