"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly"
"2094","Fiber","Fiber","Fiber","2748508-1",TRUE
"2109","Cable / DSL","Cable / DSL","Cable / DSL","2748903-1",TRUE
"2116","Copper","Copper","Copper","2749160-1",TRUE
"2119","Fiber","Fiber","Fiber","2749296-1",TRUE
"2126","Fiber","Fiber","Fiber","2749341-1",TRUE
"2129","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2749433-1",TRUE
"2130","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2749437-1",TRUE
"2132","Fiber","Fiber","Fiber","2749475-1",TRUE
"2138","Fiber","Fiber","Fiber","2749565-1",TRUE
"2149","Fiber","Fiber","Fiber","2749666-4",TRUE
"2151","Fiber","Fiber","Fiber","2749666-6",TRUE
"2153","Fiber","Fiber","Fiber","2749705-2",TRUE
"2155","Fiber","Fiber","Other / Uncategorized","2749705-4",TRUE
"2156","Fiber","Fiber","Other / Uncategorized","2749734-1",TRUE
"2223","Fiber","Fiber","Fiber","2749774-1",TRUE
"2230","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2749813-1",TRUE
"2233","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2749823-1",TRUE
"2244","Copper","Copper","Copper","2750059-1",TRUE
"2249","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2750117-1",TRUE
"2259","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2750329-1",TRUE
"2266","Fiber","Fiber","Fiber","2750425-1",TRUE
"2276","Fiber","Fiber","Fiber","2750662-1",TRUE
"2281","Fiber","Fiber","Fiber","2750732-1",TRUE
"2283","Fiber","Fiber","Fiber","2750732-3",TRUE
"2287","Fiber","Fiber","Fiber","2750800-1",TRUE
"2290","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2750816-1",TRUE
"2291","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2750828-1",TRUE
"2300","Copper","Copper","Copper","2751037-1",TRUE
"2303","Fiber","Fiber","Fiber","2751115-1",TRUE
"2307","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2751280-1",TRUE
"2314","Fiber","Fiber","Fiber","2751411-1",TRUE
"2324","Cable / DSL","Cable / DSL","Cable / DSL","2751621-1",TRUE
"2333","Fiber","Fiber","Other / Uncategorized","2751777-1",TRUE
"2339","Cable / DSL","Cable / DSL","Other / Uncategorized","2751895-1",TRUE
"2343","Fiber","Fiber","Other / Uncategorized","2751955-1",TRUE
"2344","Fiber","Fiber","Other / Uncategorized","2751985-1",TRUE
"2346","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2752015-1",TRUE
"2357","Fiber","Fiber","Fiber","2752176-1",TRUE
"2361","Other / Uncategorized","Other / Uncategorized","Fiber","2752338-1",TRUE
"2366","Fiber","Fiber","Fiber","2752444-1",TRUE
"2371","Fiber","Fiber","Fiber","2752505-1",TRUE
"2380","Fiber","Fiber","Fiber","2752729-3",TRUE
"2386","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2752806-1",TRUE
"2400","Fiber","Fiber","Fiber","2752927-1",TRUE
"2407","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2753125-3",TRUE
"2411","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2753125-7",TRUE
"2413","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2753154-1",TRUE
"2415","Fiber","Fiber","Fiber","2753172-1",TRUE
"2421","Fiber","Fiber","Fiber","2753281-1",TRUE
"2422","Other / Uncategorized","Other / Uncategorized","Cable / DSL","2753285-1",TRUE
"2428","Fiber","Fiber","Fiber","2753323-1",TRUE
"2443","Copper","Copper","Copper","2753579-1",TRUE
"2444","Fiber","Fiber","Fiber","2753631-1",TRUE
"2448","Fiber","Fiber","Fiber","2753711-1",TRUE
"2450","Fiber","Fiber","Fiber","2753711-3",TRUE
"2453","Fiber","Fiber","Fiber","2753746-2",TRUE
"2459","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2753759-1",TRUE
"2466","Fiber","Fiber","Fiber","2753900-2",TRUE
"2480","Fiber","Fiber","Fiber","2754287-1",TRUE
"2485","Fiber","Fiber","Fiber","2754435-1",TRUE
"2487","Fiber","Fiber","Other / Uncategorized","2754448-1",TRUE
"2492","Cable / DSL","Cable / DSL","Cable / DSL","2754509-1",TRUE
"2494","Fiber","Fiber","Fiber","2754563-1",TRUE
"2507","Fiber","Fiber","Fiber","2754783-1",TRUE
"2508","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2754793-1",TRUE
"2512","Fiber","Fiber","Other / Uncategorized","2754916-1",TRUE
"2514","Fiber","Fiber","Fiber","2754938-1",TRUE
"2520","Copper","Copper","Copper","2755044-1",TRUE
"2523","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2755069-2",TRUE
"2527","Fiber","Fiber","Fiber","2755125-1",TRUE
"2533","Fiber","Fiber","Fiber","2755153-4",TRUE
"2534","Fiber","Fiber","Other / Uncategorized","2755153-5",TRUE
"2535","Fixed Wireless","Fixed Wireless","Fiber","2755164-1",TRUE
"2544","Fiber","Fiber","Fiber","2755363-1",TRUE
"2574","Cable / DSL","Cable / DSL","Fiber","2755593-1",TRUE
"2582","Fiber","Fiber","Other / Uncategorized","2755692-1",TRUE
"2585","Fiber","Fiber","Fiber","2755732-1",TRUE
"2586","Cable / DSL","Fiber","Cable / DSL","2755734-1",FALSE
"2593","Fiber","Fiber","Fiber","2755911-3",TRUE
"2595","Fiber","Fiber","Fiber","2755968-1",TRUE
"2606","Fiber","Fiber","Fiber","2756212-1",TRUE
"2607","Fiber","Fiber","Fiber","2756228-1",TRUE
"2609","Fiber","Fiber","Fiber","2756284-1",TRUE
"2622","Fiber","Fiber","Fiber","2756641-1",TRUE
"2630","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2756716-1",TRUE
"2638","Fiber","Fiber","Other / Uncategorized","2756953-1",TRUE
"2639","Fiber","Fiber","Fiber","2756961-1",TRUE
"2645","Fiber","Fiber","Fiber","2757087-2",TRUE
"2647","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2757095-1",TRUE
"2649","Fiber","Fiber","Fiber","2757112-1",TRUE
"2654","Copper","Copper","Copper","2757234-1",TRUE
"2664","Fiber","Fiber","Fiber","2757583-1",TRUE
"2665","Cable / DSL","Cable / DSL","Cable / DSL","2757594-1",TRUE
"2669","Fiber","Fiber","Cable / DSL","2757631-1",TRUE
"2680","Fixed Wireless","Fixed Wireless","Fixed Wireless","2757755-1",TRUE
"2683","Fiber","Fiber","Fiber","2757802-1",TRUE
"2690","Fiber","Fiber","Fiber","2758075-1",TRUE
"2694","Copper","Copper","Copper","2758225-1",TRUE
"2699","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2758413-1",TRUE
"2711","Other / Uncategorized","Fiber","Other / Uncategorized","2758727-1",FALSE
"2717","Fiber","Fiber","Fiber","2758765-4",TRUE
"2719","Fiber","Fiber","Other / Uncategorized","2758790-2",TRUE
"2720","Fiber","Fiber","Fiber","2758799-1",TRUE
"2726","Fiber","Fiber","Other / Uncategorized","2758861-1",TRUE
