line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,nces_cd,num_of_services,highest_connect_type,free_and_reduced,cost_per_line
117903,140783,1000.0,8518,Fiber,Fiber,true,Fiber,93992.76,19,2751663-1,false,false,false,true,true,false,false,false,false,TX,969659,LUFKIN ISD,false,4828550,20,Fiber,6295,4946.987368421052
117906,140524,25.0,861,Fixed Wireless,Fiber,true,Fixed Wireless,26715.0,1,2752201-1,false,false,true,false,false,true,false,false,false,TX,969922,RICE ISD,false,4836960,1,Fixed Wireless,588,26715.0
117907,141054,4.0,217,Cable / DSL,Other / Uncategorized,true,Cable / DSL,479.4,1,2755349-1,false,false,true,false,false,false,false,false,false,TX,969329,EVANT ISD,false,4818780,3,Fiber,136,479.4
117910,140869,100.0,1010,Other / Uncategorized,Fixed Wireless,true,Other / Uncategorized,21600.0,1,2754410-1,false,false,true,false,false,false,true,true,false,TX,969693,MAYPEARL ISD,false,4829580,1,Insufficient data,401,21600.0
117912,140710,500.0,1439,Fiber,Fiber,false,N/A,18000.0,1,2741627-1,false,false,false,false,false,false,false,false,false,TX,970200,WHITE OAK ISD,false,4845480,3,Insufficient data,457,18000.0
117920,,100.0,490,Fiber,Other / Uncategorized,true,Fiber,5000.0,1,2727730-1,false,true,true,false,false,false,false,false,false,TX,,,false,,,,0,5000.0
117924,,1.5,,Copper,Copper,true,Copper,8570.52,49,2727596-1,true,false,true,false,false,false,false,false,false,TX,,,true,,,,0,174.90857142857143
117932,140723,200.0,2182,Fiber,Copper,true,Fiber,21600.0,1,2723875-1,false,true,true,false,false,false,false,false,false,TX,969113,BULLARD ISD,false,4812060,26,Fiber,757,21600.0
117936,140666,50.0,2867,Fiber,Fiber,false,N/A,39300.0,1,2727897-1,false,false,true,false,false,false,false,false,false,TX,969140,CARTHAGE ISD,false,4813110,33,Fiber,1535,39300.0
117941,230132,5.0,120,Fiber,Fiber,true,Fiber,10256.4,1,2724728-1,false,true,true,false,false,false,false,false,false,TX,969150,CENTERVILLE ISD,false,4813380,25,Fiber,84,10256.4
117983,141681,2000.0,11171,Fiber,Fiber,false,N/A,52813.68,1,2722492-1,false,false,true,false,false,false,false,false,false,TX,969976,SAN BENITO CISD,false,4838790,34,Fiber,9353,52813.68
117987,141958,100.0,818,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,90000.0,1,2741787-1,false,true,true,false,false,false,true,true,false,TX,969877,POST ISD,false,4835490,113,Fiber,517,90000.0
117990,140523,250.0,5634,Fiber,Fiber,true,Fiber,46656.0,1,2744941-1,false,false,true,false,false,false,false,false,false,TX,969918,RED OAK ISD,false,4836660,9,Fiber,2426,46656.0
117993,,15.0,169,Fiber,Fiber,true,Fiber,8399.4,1,2746399-1,false,false,true,false,false,false,false,false,false,TX,,,false,,,,0,8399.4
117996,140697,50.0,158,Other / Uncategorized,Copper,true,Other / Uncategorized,10200.0,1,2748274-1,false,true,true,false,false,false,true,true,false,TX,969605,LANEVILLE ISD,false,4826700,26,Fiber,150,10200.0
118012,141054,10.0,217,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,6000.0,1,2755354-1,false,false,true,false,false,false,true,true,false,TX,969329,EVANT ISD,false,4818780,3,Fiber,136,6000.0
118013,141054,10.0,217,Fiber,Other / Uncategorized,true,Fiber,13900.56,1,2755352-1,false,false,false,false,false,false,false,false,true,TX,969329,EVANT ISD,false,4818780,3,Fiber,136,13900.56
118043,141402,1.5,4963,Copper,Fiber,false,N/A,9279.6,1,2742231-1,true,true,true,false,false,false,false,false,false,TX,969083,BRENHAM ISD,false,4811280,28,Fiber,2859,9279.6
118044,140534,200.0,1637,Fiber,Fiber,true,Fiber,47112.0,1,2742236-1,false,false,true,false,false,false,false,false,false,TX,969203,COMMUNITY ISD,false,4814850,2,Fiber,622,47112.0
