,verified_category,predicted_category,raw_category,frn_complete,guessed_correct,cleaned_line_item,made_line_item_dirty,,
331,Fiber,Fiber,Fiber,2771419-1,TRUE,FALSE,FALSE,,
332,Fiber,Fiber,Other / Uncategorized,2772293-1,TRUE,TRUE,FALSE,,
333,Cable / DSL,Cable / DSL,Cable / DSL,2772293-2,TRUE,FALSE,FALSE,,
334,Fiber,Fiber,Fiber,2772661-1,TRUE,FALSE,FALSE,,
336,Fiber,Fiber,Fiber,2772776-1,TRUE,FALSE,FALSE,,
337,Fiber,Fiber,Fiber,2773042-1,TRUE,FALSE,FALSE,,
338,Fiber,Fiber,Fiber,2773138-1,TRUE,FALSE,FALSE,,
339,Fiber,Fiber,Fiber,2773216-1,TRUE,FALSE,FALSE,,
340,Cable / DSL,Cable / DSL,Cable / DSL,2773576-1,TRUE,FALSE,FALSE,,
341,Cable / DSL,Cable / DSL,Cable / DSL,2774053-1,TRUE,FALSE,FALSE,,
342,Fiber,Fiber,Fiber,2774070-1,TRUE,FALSE,FALSE,,
343,Fiber,Fiber,Fiber,2774311-1,TRUE,FALSE,FALSE,,
344,Fiber,Fiber,Fiber,2774948-1,TRUE,FALSE,FALSE,,
345,Fiber,Fiber,Fiber,2774960-1,TRUE,FALSE,FALSE,,
347,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2775236-1,TRUE,FALSE,FALSE,,
349,Fiber,Fiber,Fiber,2775557-1,TRUE,FALSE,FALSE,,
350,Fiber,Fiber,Fiber,2775625-1,TRUE,FALSE,FALSE,,
351,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2775637-1,TRUE,FALSE,FALSE,,
352,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2775637-2,TRUE,FALSE,FALSE,,
353,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2775637-3,TRUE,FALSE,FALSE,,
354,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2775637-4,TRUE,FALSE,FALSE,,
355,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2775637-5,TRUE,FALSE,FALSE,,
357,Fiber,Fiber,Fiber,2775747-1,TRUE,FALSE,FALSE,,
358,Copper,Copper,Copper,2775832-1,TRUE,FALSE,FALSE,,
359,Fiber,Fiber,Fiber,2775846-1,TRUE,FALSE,FALSE,,
360,Fiber,Fiber,Fiber,2775863-1,TRUE,FALSE,FALSE,,
361,Copper,Copper,Copper,2775872-1,TRUE,FALSE,FALSE,,
362,Fiber,Fiber,Fiber,2775894-1,TRUE,FALSE,FALSE,,
363,Fiber,Fiber,Fiber,2775913-1,TRUE,FALSE,FALSE,,
364,Fiber,Fiber,Fiber,2775914-1,TRUE,FALSE,FALSE,,
365,Fiber,Fiber,Fiber,2776061-1,TRUE,FALSE,FALSE,,
366,Fiber,Fiber,Fiber,2776127-1,TRUE,FALSE,FALSE,,
368,Fiber,Fiber,Fiber,2776238-1,TRUE,FALSE,FALSE,,
369,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2776247-1,TRUE,FALSE,FALSE,,
370,Fiber,Fiber,Fiber,2776390-1,TRUE,FALSE,FALSE,,
371,Fiber,Fiber,Fiber,2776743-1,TRUE,FALSE,FALSE,,
372,Fiber,Fiber,Fiber,2777123-1,TRUE,FALSE,FALSE,,
373,Copper,Copper,Copper,2777464-1,TRUE,FALSE,FALSE,,
374,Fiber,Fiber,Fiber,2778074-1,TRUE,FALSE,FALSE,,
375,Fiber,Fiber,Fiber,2778315-1,TRUE,FALSE,FALSE,,
376,Fiber,Fiber,Fiber,2778459-1,TRUE,FALSE,FALSE,,
377,Fiber,Fiber,Fiber,2778556-1,TRUE,FALSE,FALSE,,
378,Fixed Wireless,Fixed Wireless,Fixed Wireless,2778564-1,TRUE,FALSE,FALSE,,
379,Fiber,Fiber,Fiber,2778604-1,TRUE,FALSE,FALSE,,
380,Fiber,Fiber,Fiber,2778629-1,TRUE,FALSE,FALSE,,
381,Fiber,Fiber,Fiber,2778837-1,TRUE,FALSE,FALSE,,
382,Fiber,Fiber,Fiber,2778933-1,TRUE,FALSE,FALSE,,
383,Fiber,Fiber,Fiber,2778962-1,TRUE,FALSE,FALSE,,
384,Fiber,Fiber,Fiber,2778971-1,TRUE,FALSE,FALSE,,
385,Cable / DSL,Cable / DSL,Cable / DSL,2778984-1,TRUE,FALSE,FALSE,,
386,Copper,Copper,Copper,2778998-1,TRUE,FALSE,FALSE,,
387,Fiber,Fiber,Fiber,2779017-1,TRUE,FALSE,FALSE,,
388,Cable / DSL,Cable / DSL,Cable / DSL,2779700-1,TRUE,FALSE,FALSE,,
389,Fixed Wireless,Fixed Wireless,Fixed Wireless,2780087-1,TRUE,FALSE,FALSE,,
391,Fiber,Fiber,Fiber,2781256-1,TRUE,FALSE,FALSE,,
392,Fiber,Fiber,Other / Uncategorized,2781696-1,TRUE,TRUE,FALSE,,
393,Fiber,Fiber,Fiber,2781842-1,TRUE,FALSE,FALSE,,
394,Fiber,Fiber,Fiber,2781974-1,TRUE,FALSE,FALSE,,
396,Fiber,Fiber,Fiber,2782463-1,TRUE,FALSE,FALSE,,
397,Copper,Copper,Copper,2782737-1,TRUE,FALSE,FALSE,,
398,Fiber,Fiber,Fiber,2782814-1,TRUE,FALSE,FALSE,,
399,Copper,Copper,Copper,2782901-1,TRUE,FALSE,FALSE,,
400,Fiber,Fiber,Fiber,2782955-1,TRUE,FALSE,FALSE,,
401,Fiber,Fiber,Other / Uncategorized,2782980-1,TRUE,TRUE,FALSE,,
402,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2783430-1,TRUE,FALSE,FALSE,,
404,Fiber,Fiber,Fiber,2784043-1,TRUE,FALSE,FALSE,,
