bigram,count
"('academy', '16042682')",31
"('funding', 'entities')",31
"('1699145599', 'denied')",31
"('frn', 'requests')",31
"('equipment', 'dark')",31
"('frn', 'ineligible')",31
"('academy', '16039828')",31
"('academy', 'agree')",31
"('site', 'per')",31
"('modified', '17010498')",31
"('entity', 'terra')",31
"('frn', 'also')",31
"('consultation', 'applicant')",31
"('also', 'denied')",31
"('washington', 'youth')",31
"('1699145599', 'frn')",31
"('member', 'entities')",31
"('sobrato', 'oya')",31
"('cost', 'eligible')",31
"('53', '435')",30
"('446', '58')",30
"('order', 'change')",30
"('mr3', 'data')",30
"('58', 'agree')",30
"('7', '13')",30
"('filed', 'fcc')",30
"('28', '51')",30
"('7', '14')",30
"('requested', 'lit')",30
"('provisioned', 'fiber')",30
"('51', '446')",30
"('435', '28')",30
"('demonstrated', 'dark')",30
"('associated', 'self')",30
"('selection', 'documentation')",30
"('modified', '53')",30
"('selected', 'accordance')",30
"('local', 'phone')",30
"('included', 'value')",29
"('administrator', 'special')",29
"('services', 'alone')",29
"('weighted', 'greatest')",29
"('evaluation', 'factors')",29
"('contains', 'significant')",29
"('weighted', 'heavily')",29
"('price', 'factor')",29
"('greatest', 'violated')",29
"('services', 'since')",29
"('equal', 'cost')",29
"('factor', 'cost')",29
"('plans', 'ineligible')",29
"('order', 'determine')",29
"('cannot', 'weighting')",29
"('alone', 'weighted')",29
"('weighting', 'equal')",29
"('heavily', 'bid')",29
"('must', 'weighted')",29
"('evaluation', 'included')",29
"('value', 'ineligible')",29
"('since', 'price')",29
"('administrator’s', 'information')",29
"('factors', 'included')",29
"('services', 'price')",29
"('factors', 'cannot')",29
"('cost', 'factors')",29
"('information', 'fcc')",29
"('7', '1')",28
"('rules', 'requirements')",28
"('process', 'frn')",28
"('requested', 'since')",28
"('including', 'data')",28
"('item', 'voice')",28
"('year', 'mr1')",27
"('expiration', 'date')",27
"('data', 'service')",27
"('category', 'two')",27
"('applicant', 'service')",27
"('meet', 'program')",26
"('annual', 'amount')",26
"('made', 'available')",26
"('471', 'since')",26
"('request', 'proposal')",26
"('added', 'fcc')",26
"('respond', 'rfp')",26
"('fiber', 'review')",26
"('contract', 'expiration')",26
"('criteria', 'vendor')",26
"('total', 'annual')",26
"('requirements', 'competitive')",26
"('item', '21')",26
"('information', 'needed')",26
"('day', 'competitive')",26
"('established', 'competitive')",26
"('primary', 'factor')",26
"('program', 'requirement')",26
"('needed', 'potential')",26
"('dated', 'applicant')",25
"('contract', 'signed')",25
"('certification', 'products')",25
"('uploaded', 'fcc')",25
"('470', 'e')",25
"('require', 'fcc')",25
"('modifying', 'original')",25
"('470', 'request')",25
"('require', 'contract')",25
"('original', 'information')",25
"('bidders', 'able')",25
"('providing', 'additional')",25
"('documentation', 'providing')",25
"('documentation', 'contained')",25
"('application', 'accordance')",25
"('applicant', 'legally')",25
"('prior', 'filing')",25
"('procedures', 'require')",25
"('signed', 'dated')",25
"('agreement', 'entered')",25
"('additional', 'modifying')",25
"('proposal', 'uploaded')",25
"('voice', 'including')",25
"('able', 'respond')",25
"('dr1', 'new')",24
"('describe', 'planned')",24
"('mr2', 'amount')",24
"('requirements', 'requested')",24
"('year', 'fy2016')",24
"('must', 'describe')",24
"('child', 'relationship')",24
"('rules', 'dr2')",24
"('planned', 'service')",24
"('services', 'filing')",24
"('wireless', 'data')",24
"('001', 'modified')",24
"('make', 'bona')",24
"('information', 'bidders')",24
"('470', 'services')",24
"('available', '28')",24
"('applicants', 'make')",24
"('service', 'requirements')",24
"('maintenance', 'operation')",24
"('supporting', 'documentation')",24
"('different', 'requested')",24
"('technology', 'act')",23
"('application', 'number')",23
"('470', 'application')",23
"('library', 'services')",23
"('carefully', 'consider')",23
"('services', 'technology')",23
"('compliance', 'review')",23
"('request', 'applicant')",23
"('establishing', 'fcc')",23
"('number', 'changed')",23
"('evaluation', 'criteria')",23
"('98', 'per')",23
"('64', 'per')",23
"('evaluation', 'form')",22
"('state', 'library')",22
"('act', 'lsta')",22
"('receive', 'funding')",22
"('lsta', 'therefore')",22
"('usac', 'unable')",22
"('requirement', 'receive')",22
"('library', 'meet')",22
"('eligibility', 'requirement')",22
"('assistance', 'state')",22
"('agency', 'library')",22
"('potential', 'service')",22
"('meet', 'eligibility')",22
"('request', 'mr2')",22
"('therefore', 'library')",22
"('services', 'ineligible')",22
"('library', 'administrative')",22
"('eligible', 'assistance')",22
"('following', 'items')",22
"('dr1', 'products')",22
"('administrative', 'agency')",22
"('00', 'agree')",22
"('item', 'item')",22
"('process', 'therefore')",21
"('6', '30')",21
"('process', 'described')",21
"('00', 'per')",21
"('year', 'dr2')",21
"('applicants', 'carefully')",21
"('adhere', 'criteria')",21
"('review', 'determined')",21
"('effectiveness', 'review')",21
"('contract', 'new')",21
"('accordance', 'vendor')",21
"('item', 'data')",21
"('rfp', 'available')",21
"('contains', 'service')",21
"('changed', 'request')",21
"('dr1', 'funding')",20
"('determine', 'price')",20
"('service', 'start')",20
"('voice', 'mail')",20
"('category', 'one')",20
"('described', 'vendor')",20
"('1', '2016')",20
"('start', 'date')",20
"('provided', 'funding')",20
"('bids', 'received')",20
"('unable', 'determine')",20
"('factor', 'selection')",20
"('spin', 'number')",20
"('relationship', 'entities')",20
"('signed', 'contract')",19
"('“or', 'equivalent”')",19
"('service', 'requested')",19
"('process', 'provided')",19
"('1', '2017')",19
"('submit', 'bid')",19
"('cited', 'fcc')",19
"('receiving', 'service')",19
"('item', 'documentation')",19
"('1', '012')",19
"('manufacturer’s', 'name')",19
"('monthly', 'recurring')",19
"('eligibility', 'entity')",19
"('based', 'supporting')",19
"('name', 'brand')",19
"('type', 'requested')",18
"('review', 'responses')",18
"('better', 'product')",18
"('item', '1')",18
"('lines', 'frn')",18
"('also', 'specifying')",18
"('stated', 'selective')",18
"('brand', 'products')",18
"('expensive', 'service')",18
"('validate', 'parent')",18
"('expensive', 'choose')",18
"('violation', 'indication')",18
"('isdn', 'pri')",18
"('provider', 'submit')",18
"('specifying', '“or')",18
"('contains', 'particular')",18
"('bid', 'equivalent')",18
"('apparent', 'selection')",18
"('responses', 'therefore')",18
"('applicant', 'purchase')",18
"('undermines', 'competitive')",18
"('result', 'cost')",18
"('indication', 'fcc')",18
"('puerto', 'rico')",18
"('00', 'monthly')",18
"('criteria', 'stated')",18
"('470', 'established')",18
"('purchase', 'equivalent')",18
"('student', 'counts')",18
"('review', 'without')",18
"('particular', 'manufacturer’s')",18
"('mr1', 'consultation')",18
"('may', 'less')",18
"('agreement', 'new')",18
"('opportunity', 'applicant')",18
"('without', 'also')",18
"('vendor', 'accordance')",18
"('eliminating', 'opportunity')",18
"('services', 'without')",18
"('choose', 'less')",18
"('services', 'undermines')",18
"('also', 'allowing')",18
"('product', 'may')",18
"('accordance', 'evaluation')",18
"('equivalent”', 'competitive')",18
"('denied', 'result')",18
"('equivalent', 'products')",18
"('rfp', 'addenda')",18
"('equivalent', 'better')",18
"('determined', 'request')",18
"('mr1', 'establishing')",18
"('process', 'eliminating')",18
"('allowing', 'service')",18
"('6', '22')",17
"('470', 'products')",17
"('item', 'according')",17
"('potential', 'vendors')",17
"('change', 'service')",17
"('product', 'based')",17
"('effective', 'required')",17
"('denied', 'due')",17
"('portal', 'potential')",17
"('eligibility', 'discounts')",17
"('demonstrate', 'eligibility')",17
"('accordance', 'program')",17
"('justified', 'cost')",17
"('provided', 'sufficiently')",17
"('according', 'program')",17
"('contact', 'information')",17
"('fiber', 'program')",17
"('description', 'products')",17
"('provided', 'demonstrates')",17
"('sufficiently', 'demonstrate')",17
