trigram,count
"('possible', 'respond', 'fcc')",71
"('entity', 'applicants', 'ensure')",71
"('ensure', 'receiving', 'cost')",71
"('eligible', 'e', 'rate')",71
"('efficient', 'use', 'shared')",71
"('effective', 'services', 'bidders')",71
"('bid', 'prices', 'goal')",71
"('e', 'rate', 'support')",71
"('receive', 'better', 'service')",71
"('receiving', 'cost', 'effective')",71
"('provider', 'selected', '“')",71
"('individual', 'school', 'chooses')",71
"('individually', 'school', 'month')",71
"('documentation', 'provided', 'explained')",71
"('documentation', 'frn', 'documentation')",71
"('regulations', 'since', 'failed')",71
"('relates', 'schools', 'libraries')",71
"('determine', 'exact', 'bid')",71
"('information', 'determine', 'exact')",71
"('moreover', 'rfp', 'specified')",71
"('demonstrate', 'met', 'requirement')",71
"('exact', 'bid', 'prices')",71
"('explained', '“because', 'telephone')",71
"('cost', 'effective', 'services')",71
"('process', 'needed', 'consortium')",71
"('prices', 'goal', 'competitive')",71
"('funding', 'requests', 'must')",71
"('prices', 'one', 'benefits')",71
"('prices', 'promote', 'efficient')",71
"('month', 'basis', 'bidding')",71
"('month', 'month', 'basis')",71
"('“not', 'subject', 'bidding')",71
"('“because', 'telephone', 'voice')",71
"('“', 'moreover', 'rfp')",71
"('process', 'many', 'bidders')",71
"('goal', 'competitive', 'bidding')",71
"('facilities', 'asked', 'provide')",71
"('frn', 'documentation', 'provided')",71
"('handled', 'individually', 'school')",71
"('program', 'aggregate', 'demand')",71
"('program’s', 'competitive', 'bid')",71
"('promote', 'efficient', 'use')",71
"('forming', 'consortium', 'relates')",71
"('provide', 'competitive', 'bid')",71
"('provided', 'explained', '“because')",71
"('failed', 'demonstrate', 'met')",71
"('fact', 'individual', 'school')",71
"('demand', 'order', 'lower')",71
"('rate', 'support', 'services')",71
"('consortium', 'relates', 'schools')",71
"('competitively', 'bidded', 'accordance')",71
"('requests', 'must', 'competitively')",71
"('voice', 'service', 'handled')",71
"('rfp', 'specified', 'voice')",71
"('considerations', 'due', 'fact')",71
"('rfp', 'solicitation', 'method')",71
"('voice', 'services', '“not')",71
"('rules', 'regulations', 'since')",71
"('bidding', 'process', 'needed')",71
"('require', 'order', 'eligible')",71
"('bidding', 'process', 'many')",71
"('bidding', 'considerations', 'due')",71
"('bidders', 'sufficient', 'information')",71
"('bidders', 'possible', 'respond')",71
"('bidded', 'accordance', 'program’s')",71
"('bid', 'rules', 'regulations')",71
"('competitive', 'bid', 'documentation')",71
"('consortium', 'application', 'therefore')",71
"('dr2', 'frn', 'denied')",70
"('transmission', 'internet', 'access')",70
"('month', 'remove', 'ineligible')",70
"('cost', 'effective', 'solution')",70
"('data', 'transmission', 'internet')",69
"('ineligible', 'product', 'service')",69
"('since', 'frn', 'requesting')",68
"('denied', 'since', 'frn')",68
"('form', '470', 'posted')",68
"('respond', 'administrator', 'selective')",67
"('accordance', 'ral', 'request')",67
"('administrator', 'selective', 'review')",67
"('local', 'long', 'distance')",67
"('act', '1996', 'fcc')",66
"('red', 'light', 'rule')",66
"('1996', 'fcc', '04')",66
"('application', 'denied', 'based')",66
"('cost', 'effective', 'provider')",66
"('72', 'april', '13')",66
"('choose', 'cost', 'effective')",66
"('rule', 'implements', 'requirements')",66
"('debt', 'collection', 'improvement')",66
"('requirements', 'fcc’s', 'debt')",66
"('collection', 'improvement', 'act')",66
"('based', 'noncompliance', 'fcc’s')",66
"('posted', 'fcc', 'form')",66
"('effective', 'provider', 'price')",66
"('light', 'rule', 'implements')",66
"('denied', 'based', 'noncompliance')",66
"('noncompliance', 'fcc’s', 'red')",66
"('fcc', '04', '72')",66
"('04', '72', 'april')",66
"('fcc’s', 'debt', 'collection')",66
"('fcc’s', 'red', 'light')",66
"('improvement', 'act', '1996')",66
"('april', '13', '2004')",66
"('implements', 'requirements', 'fcc’s')",66
"('contract', 'legally', 'binding')",65
"('mr1', 'amount', 'funding')",65
"('documentation', 'provided', 'review')",65
"('services', 'posted', 'fcc')",64
"('fiber', 'request', 'denied')",64
"('dr1', 'documentation', 'provided')",64
"('must', 'denied', 'dr2')",64
"('therefore', 'applicant', 'violated')",63
"('470', 'posted', 'requested')",63
"('applicant', 'violated', 'competitive')",63
"('selecting', 'service', 'provider')",63
"('frn', '1699138580', '1699145599')",62
"('require', 'requested', 'tariff')",62
"('month', 'services', 'funding')",62
"('month', 'services', 'posted')",62
"('form', '470', 'funding')",62
"('470', 'funding', 'year')",62
"('services', 'funding', 'year')",62
"('posted', 'requested', 'tariff')",62
"('per', 'month', 'remove')",62
"('effective', 'solution', 'documentation')",62
"('rules', 'require', 'requested')",62
"('primary', 'evaluation', 'factor')",62
"('program', 'rules', 'mr1')",61
"('uncommon', 'schools', 'mr1')",60
"('rules', 'ineligible', 'use')",60
"('program', 'rules', 'ineligible')",60
"('solution', 'documentation', 'provided')",60
"('following', 'item', 'local')",58
"('e', 'rate', 'productivity')",58
"('provided', 'review', 'fcc')",56
"('filing', 'fcc', 'form')",56
"('rate', 'productivity', 'portal')",56
"('review', 'fcc', 'form')",56
"('frn', 'requesting', 'network')",56
"('remove', 'ineligible', 'service')",56
"('requesting', 'network', 'equipment')",56
"('agree', 'documentation', 'provided')",56
"('network', 'equipment', 'associated')",55
"('frn', 'denied', 'dr2')",54
"('mr2', 'frn', 'modified')",54
"('solutions', 'choose', 'cost')",52
"('ineligible', 'products', 'services')",51
"('month', 'agree', 'applicant')",49
"('data', 'text', 'messaging')",49
"('frn', 'line', 'item')",49
"('require', 'applicants', 'evaluate')",49
"('services', 'requested', 'fcc')",49
"('evaluate', 'cost', 'effectiveness')",49
"('applicants', 'evaluate', 'cost')",49
"('documentation', 'provided', 'failed')",49
"('effectiveness', 'fiber', 'solutions')",48
"('since', 'meet', 'requirement')",48
"('meet', 'requirement', 'frn')",48
"('cost', 'effectiveness', 'fiber')",48
"('internet', 'access', 'services')",48
"('documentation', 'provided', 'demonstrate')",47
"('dark', 'fiber', 'solution')",47
"('posting', 'fcc', 'form')",46
"('total', 'cost', 'therefore')",46
"('fiber', 'solutions', 'choose')",46
"('based', 'total', 'cost')",46
"('failed', 'respond', 'administrator’s')",46
"('cost', 'therefore', 'applicant')",46
"('review', 'member', 'entity')",45
"('solution', 'cost', 'effective')",44
"('request', 'changed', '1')",44
"('demonstrate', 'price', 'primary')",44
"('service', 'provider', 'proposal')",44
"('dr2', 'applicant', 'provided')",43
"('lit', 'fiber', 'solution')",43
"('price', 'primary', 'evaluation')",43
"('contract', 'award', 'date')",43
"('includes', 'request', 'data')",42
"('access', 'services', 'requested')",42
"('form', '470', 'usac’s')",42
"('funding', 'denied', 'dr2')",42
"('fiber', 'solution', 'cost')",42
"('date', 'posting', 'fcc')",42
"('fiber', 'solution', 'based')",42
"('mr1', 'new', 'frn')",42
"('solution', 'based', 'total')",42
"('product', 'service', 'based')",42
"('frn', 'since', 'services')",41
"('since', 'services', 'connected')",41
"('“yes”', 'frn', 'since')",41
"('questions', 'modified', '“no”')",41
"('“no”', '“yes”', 'frn')",41
"('nifs', 'eligible', 'support')",41
"('information', 'questions', 'modified')",41
"('schools', 'mr1', 'amount')",41
"('nifs', 'result', 'connection')",41
"('libraries', 'nifs', 'eligible')",41
"('libraries', 'nifs', 'result')",41
"('applicant', 'documentation', 'mr3')",41
"('connection', 'information', 'questions')",41
"('result', 'connection', 'information')",41
"('services', 'connected', 'eligible')",41
"('requested', 'frn', 'connected')",41
"('frn', 'connected', 'eligible')",41
"('modified', '“no”', '“yes”')",41
"('require', 'applicants', 'retain')",40
"('modified', 'accordance', 'ral')",40
"('regarding', 'competitive', 'bidding')",40
"('competitive', 'bidding', 'violation')",40
"('long', 'distance', 'service')",40
"('frn', 'modified', 'accordance')",40
"('applicants', 'retain', 'documentation')",40
"('frn', 'line', 'items')",40
"('date', 'changed', '7')",40
"('line', 'items', 'modified')",39
"('products', 'services', 'primary')",39
"('retain', 'documentation', 'ten')",39
"('fy2017', 'fcc', 'rules')",39
"('request', 'data', 'plans')",39
"('form', '471', 'application')",39
"('ten', 'years', 'regarding')",39
"('frn', 'modified', '1')",39
"('documentation', 'ten', 'years')",39
"('applicants', 'select', 'cost')",39
"('funding', 'year', 'fy2017')",39
"('year', 'fy2017', 'fcc')",39
"('years', 'regarding', 'competitive')",39
"('entered', 'prior', 'expiration')",38
"('mr1', 'recipients', 'service')",38
"('expiration', 'required', '28')",38
"('period', 'computed', 'date')",38
"('web', 'site', 'violates')",38
"('service', 'signed', 'entered')",38
"('28', 'day', 'waiting')",38
"('waiting', 'period', 'computed')",38
"('computed', 'date', 'posting')",38
"('prior', 'expiration', 'required')",38
"('provided', 'failed', 'demonstrated')",38
"('required', '28', 'day')",38
"('2016', 'agree', 'documentation')",38
"('violates', 'program', 'rules')",38
"('associated', 'dark', 'fiber')",38
"('award', 'date', 'changed')",38
"('day', 'waiting', 'period')",38
"('usac’s', 'web', 'site')",38
"('site', 'violates', 'program')",38
"('ineligible', 'service', 'based')",38
"('471', 'certification', 'filed')",38
"('recipients', 'service', 'frn')",38
"('signed', 'entered', 'prior')",38
"('470', 'usac’s', 'web')",38
"('require', 'applicants', 'select')",37
"('fiber', 'special', 'construction')",37
"('rules', 'since', 'requirement')",37
"('dr1', 'contract', 'legally')",37
"('dark', 'fiber', 'special')",37
"('factor', 'since', 'meet')",37
"('provider', 'price', 'primary')",37
"('member', 'entity', 'ies')",37
"('program', 'rules', 'since')",37
"('place', 'fcc', 'form')",37
"('new', 'service', 'signed')",37
"('evaluation', 'factor', 'since')",37
"('review', 'asked', 'provide')",36
"('provided', 'selective', 'review')",36
"('primary', 'bid', 'evaluation')",36
"('provided', 'demonstrate', 'price')",36
"('funding', 'request', 'unable')",36
"('evaluation', 'factor', 'selecting')",36
"('provide', 'bids', 'associated')",36
"('application', 'review', 'asked')",36
"('bids', 'associated', 'funding')",36
"('bidding', 'process', 'application')",36
"('bid', 'evaluation', 'factor')",36
"('asked', 'provide', 'bids')",36
"('factor', 'selecting', 'service')",36
"('price', 'primary', 'bid')",36
"('process', 'application', 'review')",36
"('associated', 'funding', 'request')",36
"('vendor', 'evaluation', 'sheet')",36
"('binding', 'agreement', 'place')",35
"('new', 'frn', 'split')",35
"('form', '471', 'mr2')",35
"('proposal', 'program', 'rules')",35
"('agreement', 'place', 'fcc')",35
"('lines', 'agree', 'applicant')",35
"('information', 'request', 'documentation')",35
"('provider', 'proposal', 'program')",35
"('frn', 'split', 'frn')",35
"('request', 'documentation', 'provided')",35
"('included', 'bid', 'evaluation')",35
"('consider', 'bids', 'submitted')",35
"('dark', 'fiber', 'request')",35
"('ineligible', 'entities', 'based')",34
"('documentation', 'provided', 'determine')",34
"('denied', 'mr1', 'recipients')",34
"('new', 'frn', 'created')",34
"('entities', 'based', 'review')",34
"('mr1', 'contract', 'award')",34
"('service', 'frn', 'line')",34
"('following', 'item', 'products')",34
"('leased', 'dark', 'fiber')",34
"('2016', 'application', 'denied')",33
"('required', 'fcc', 'rules')",33
"('following', 'item', 'cellular')",33
"('closed', 'school', 'site')",33
"('equipment', 'associated', 'dark')",33
"('ineligible', 'service', '12')",33
"('frn', 'contains', 'following')",33
"('2017', 'application', 'denied')",33
"('471', 'mr2', 'frn')",33
"('request', 'unable', 'therefore')",32
"('per', 'program', 'rules')",32
"('04', 'per', 'month')",32
"('rules', 'closed', 'entities')",32
"('unable', 'therefore', 'frn')",32
"('item', 'local', 'long')",32
"('entities', 'eligible', 'funding')",32
"('closed', 'entities', 'eligible')",32
"('cost', 'effective', 'requested')",32
"('evaluation', 'sheet', 'bid')",32
"('rules', 'mr1', 'contract')",32
"('frn', 'created', 'order')",32
"('sheet', 'bid', 'evaluation')",32
"('program', 'rules', 'closed')",32
"('fiber', 'associated', 'denied')",31
"('denied', 'frn', 'therefore')",31
