"","postal_cd","district_esh_id","pct_scalable"
"723","CA",884022,0.956521739130435
"724","CA",884030,1
"725","CA",884033,0.5
"726","CA",884035,0.25
"727","CA",884037,1
"728","CA",884038,1
"729","CA",884040,0.5
"730","CA",884047,1
"731","CA",884048,1
"732","CA",884049,0.333333333333333
"733","CA",884052,1
"734","CA",884056,0.25
"735","CA",884062,1
"736","CA",884064,0
"737","CA",884067,1
"738","CA",884072,1
"739","CA",884077,1
"740","CO",881447,0.666666666666667
"741","CO",881450,0.5
"742","CO",881717,1
"743","CO",881724,0
"744","CO",881730,1
"745","CO",881831,1
"746","CO",881841,1
"747","CO",881883,1
"748","CO",881894,1
"749","CO",881905,1
"750","CO",881909,0.963636363636364
"751","CO",881913,1
"752","CO",881924,0
"753","CO",881947,1
"754","CO",881957,0.5
"755","CO",881973,0.25
"756","CO",882022,1
"757","CO",882052,1
"758","CO",882071,1
"759","CO",882075,0.375
"760","CO",882080,0.333333333333333
"761","CO",882095,0
"762","CO",882101,1
"763","CO",882113,0.75
"764","CO",882122,0.666666666666667
"765","CO",882125,1
"766","CO",882129,1
"767","CO",882138,1
"768","CO",882144,1
"769","CO",882154,1
"770","CO",882165,0.5
"771","CO",882185,0.5
"772","CO",882195,0.5
"773","CO",882228,0.5
"774","CO",882257,1
"775","CO",882285,0.333333333333333
"776","CO",882306,1
"777","CO",882311,0
"778","CO",882317,0.333333333333333
"779","CO",882325,1
"780","CO",882343,0.666666666666667
"781","CO",882353,1
"782","CO",882374,1
"783","CO",882397,1
"784","CO",882405,1
"785","CO",882418,0.333333333333333
"786","CO",882427,1
"787","CO",882448,0.285714285714286
"788","CO",882453,1
"789","CO",882458,0.636363636363636
"790","CO",882461,1
"791","CO",882465,0
"792","CO",882482,1
"793","CO",882501,1
"794","CO",882504,1
"795","CO",882515,0.96969696969697
"796","CO",882522,1
"797","CO",882528,0.5
"798","CO",882531,1
"799","CO",882535,1
"800","CO",882550,1
"801","CO",882557,0.5
"802","CO",882562,1
"803","CO",882567,1
"804","CO",882575,0.666666666666667
"805","CO",882585,1
"806","CO",882591,1
"807","CO",882596,1
"808","CO",882616,1
"809","CO",882620,1
"810","CO",882652,1
"811","CO",882662,1
"812","CO",882666,1
"813","CO",882679,0
"814","CO",882683,0.117647058823529
"815","CO",882692,0.5
"816","CO",882696,1
"817","CT",884103,1
"818","CT",884143,1
"819","CT",884147,1
"820","CT",884152,0.25
"821","CT",884163,1
"822","CT",884166,0.75
"823","CT",884169,0.5
"824","CT",884177,1
"825","CT",884180,1
"826","CT",884182,1
"827","CT",884184,1
"828","CT",884186,1
"829","CT",884189,0.5
"830","CT",884196,1
"831","CT",884198,0.75
"832","CT",884201,0.25
"833","CT",884204,1
"834","CT",884209,1
"835","CT",884210,0.25
"836","CT",884211,1
"837","CT",884212,1
"838","CT",884214,1
"839","CT",884216,0.333333333333333
"840","CT",884219,1
"841","CT",884221,0.9
"842","CT",884224,1
"843","CT",884228,1
"844","CT",884229,0.375
"845","CT",884231,1
"846","CT",884232,1
"847","CT",884234,0.25
"848","CT",884235,0.25
"849","CT",884237,1
"850","CT",884239,1
"851","CT",884244,0.5
"852","CT",884246,0.25
"853","CT",884247,0.5
"854","CT",884249,0.5
"855","CT",884250,0.5
"856","CT",884251,1
"857","CT",884252,1
"858","CT",884255,1
"859","CT",884256,1
"860","CT",884257,1
"861","CT",884258,1
"862","CT",884259,1
"863","CT",884260,1
"864","CT",884263,1
"865","CT",884265,0.666666666666667
"866","CT",884266,1
"867","CT",884267,1
"868","CT",884268,1
"869","CT",884269,1
"870","CT",884270,1
"871","CT",884272,1
"872","CT",884275,1
"873","CT",884276,1
"874","CT",884277,1
"875","CT",884279,1
"876","CT",884280,0.333333333333333
"877","CT",884281,1
"878","CT",884283,1
"879","CT",884284,1
"880","CT",884288,0.333333333333333
"881","CT",884291,0.25
"882","CT",884292,1
"883","CT",884295,1
"884","CT",884297,1
"885","CT",884298,1
"886","CT",884299,1
"887","CT",884300,1
"888","CT",884301,1
"889","CT",884302,0.5
"890","CT",884303,0.333333333333333
"891","CT",884304,1
"892","CT",884305,0.5
"893","CT",884306,1
"894","CT",884307,1
