BE Name,esh_id,c1_discount_rate_max,c1_discount_rate_min,num_schools
ANNISTON CITY SCHOOL DISTRICT,881578,90,90,9
ANNVILLE CLEONA SCHOOL DIST,953616,50,50,4
ANOKA-HENNEPIN SCHOOL DIST 11,922513,50,50,49
ANSELMO-MERNA PUBLIC SCHOOLS,935904,70,60,2
ANSLEY PUBLIC SCHOOL DISTRICT,936018,70,70,2
ANSON COUNTY SCHOOL DISTRICT,929470,90,90,11
ANSONIA LOCAL SCHOOL DISTRICT,949892,70,70,3
ANSONIA PUBLIC SCHOOLS,884137,80,80,4
ANSON INDEP SCHOOL DISTRICT,968993,80,80,3
ANTELOPE ELEM SCHOOL DISTRICT,882656,80,80,3
ANTELOPE UNION HIGH SCHOOL,887269,90,90,
ANTELOPE VALLEY UN H S DIST,882661,80,80,12
ANTHONY-HARPER UNIF SCH DIST,903415,80,80,3
ANTHONY INDEP SCHOOL DISTRICT,968994,90,90,5
ANTHONY WAYNE LOCAL SCH DIST,950047,40,40,6
ANTIETAM SCHOOL DISTRICT,953612,60,60,3
ANTIGO SCHOOL DISTRICT,983720,80,80,9
ANTIOCH SCHOOL DISTRICT 34,900899,50,50,5
ANTIOCH UNIFIED SCHOOL DIST.,882667,80,80,25
ANTLERS INDEP SCHOOL DIST I 13,951088,80,80,3
ANTON INDEP SCHOOL DISTRICT,968995,90,90,4
ANTWERP LOCAL SCHOOL DISTRICT,950123,70,70,3
APACHE ELEMENTARY SCHOOL,887307,60,60,
APACHE JUNCTION UNIFIED DISTRICT,882915,80,80,8
APLINGTON PARKERSBURG COMMUNITY SCHOOL DISTRICT,894171,60,60,4
APOLLO RIDGE SCHOOL DISTRICT,953617,60,60,3
APPLE SPRINGS INDEP SCH DIST,968996,80,80,2
APPLETON AREA SCHOOL DISTRICT,983721,60,50,23
APPLETON CITY SCHOOL DIST R 2,924074,80,80,2
APPLE VALLEY UNIF SCHOOL DIST,881515,80,80,15
APPLING COUNTY SCHOOL DISTRICT,889835,80,80,7
APPOMATTOX COUNTY SCHOOL DIST,975489,70,70,4
APPOQUINIMINK SCHOOL DISTRICT,886853,50,50,16
APTAKISIC-TRIPP CCSD #102,900901,40,40,4
AQUILLA INDEP SCHOOL DISTRICT,968997,80,80,2
ARAB CITY SCHOOL DISTRICT,881584,70,70,4
ARANSAS COUNTY INDEP SCH DIST,969000,80,80,5
ARANSAS PASS INDEP SCHOOL DIST,969001,80,80,6
ARAPAHO - BUTLER  INDEP SCHOOL DIST 5,951090,70,70,2
ARAPAHOE PUBLIC SCHOOL DIST,936019,70,70,2
ARCADIA PUBLIC SCHOOL DISTRICT,936021,80,70,2
ARCADIA SCHOOL DISTRICT,983723,80,80,2
ARCADIA UNIFIED SCHOOL DIST,882672,40,40,11
ARCADIA VALLEY SCHOOL DIST R 2,924075,80,80,4
ARCANUM BUTLER LOCAL SCH DIST,949893,60,60,3
ARCATA ELEM SCHOOL DISTRICT,882677,80,80,2
ARCHBOLD AREA SCHOOL DISTRICT,949929,60,60,3
ARCHER CITY SCHOOL DISTRICT,969003,80,70,2
ARCHIE R V SCHOOL DISTRICT,924077,60,60,2
ARCHULETA CO SCHOOL DIST 50,881752,90,80,4
ARCOHE UNION ELEM SCH DISTRICT,882707,80,80,1
ARDMORE INDEP SCHOOL DIST 19,951092,90,90,6
ARDSLEY UNION FREE SCHOOL DIST,946203,40,40,3
ARENAC EASTERN SCHOOL DISTRICT,919491,90,90,2
ARENA UNION ELEM SCHOOL DIST,882712,80,80,1
ARGENTA-OREANA COMM UNIT SCH 1,900904,80,80,3
ARGO COMM HIGH SCHOOL DIST 217,900905,80,80,1
ARGONIA PUBLIC SCHOOL DIST 359,903692,70,70,2
ARGOS COMM SCHOOL DISTRICT,901950,70,70,2
ARGYLE CENTRAL SCHOOL DISTRICT,946204,70,60,2
