esh_id,id,MEMBER,TOTET
909737,39160,266,266
909729,38969,266,266
909751,39413,266,266
909729,38958,265,265
909734,39125,265,265
909713,38717,264,264
909746,39363,264,264
909760,39579,264,264
909757,39486,263,263
909712,38647,263,263
909629,38338,263,263
909750,39406,262,262
909717,38773,261,261
909708,38576,260,260
909713,38736,260,260
909746,39337,259,259
909738,39203,259,259
909759,39504,258,258
909712,38646,258,258
909748,39383,257,257
909759,39525,256,256
909765,39681,256,256
909725,38912,255,255
909629,38341,255,255
909762,39617,255,255
909728,38952,254,254
909744,39316,254,254
909739,39211,253,253
909723,38900,253,253
909748,39385,252,252
909761,39602,250,250
909708,38577,250,250
909757,39463,249,249
909725,38914,249,249
909763,39657,249,249
909746,39342,248,248
909762,39619,248,248
909715,38758,248,248
909746,39339,247,247
909711,38604,247,247
909764,39663,246,246
909759,39514,246,246
909763,39642,246,246
909751,39420,246,246
909725,38916,245,245
909729,38957,244,244
909759,39513,244,244
909721,38880,241,241
909629,38348,239,239
909629,38346,239,239
909727,38951,238,238
909757,39481,238,238
909774,39758,237,237
909774,39751,236,236
909763,39653,235,235
909714,38752,233,233
909746,39326,233,233
909711,38603,233,233
909635,38374,231,231
909770,39740,230,230
909720,38837,229,229
909736,39157,229,229
909733,39074,228,228
909726,38926,228,228
909757,39451,228,228
909629,38339,225,225
909713,38744,225,225
909760,39547,224,224
909748,39382,224,224
909744,39314,224,224
909629,38347,224,224
909761,39603,223,223
909760,39535,223,223
909708,38575,221,221
909746,39361,221,221
909759,39523,221,221
909758,39488,221,221
909734,39115,220,220
909629,38354,220,220
909733,39103,219,219
909717,38770,219,219
909712,38662,218,218
909743,39276,218,218
909756,39446,217,217
909709,38580,217,217
909770,39736,217,217
909758,39491,217,217
909746,39356,216,216
909751,39423,216,216
909757,39454,216,216
909713,38734,215,215
909759,39510,214,214
909743,39283,205,205
909720,38832,202,202
909741,39241,202,202
909717,38774,201,201
909748,39377,197,197
909746,39357,197,197
909748,39378,197,197
909763,39629,196,196
909715,38756,195,195
909716,38764,195,195
909720,38864,193,193
909774,39754,192,192
909735,39141,191,191
909714,38751,190,190
909769,39726,184,184
909765,39676,184,184
909760,39536,183,183
909713,38726,182,182
909719,38790,181,181
909735,39136,180,180
909769,39717,180,180
909757,39477,180,180
909712,38683,179,179
909754,39432,178,178
909763,39628,178,178
909713,38711,178,178
909712,38687,178,178
909762,39618,177,177
909754,39430,176,176
909636,38380,176,176
909720,38798,176,176
909736,39147,175,175
909735,39144,175,175
909741,39245,174,174
909736,39149,173,173
909735,39142,173,173
909712,38636,169,169
909770,39737,168,168
909759,39521,168,168
909763,39634,165,165
909764,39658,165,165
909658,38499,164,164
909658,38492,163,163
909629,38351,158,158
909750,39400,158,158
909763,39647,152,152
