"esh_id","use_case_name"
954091,"'% Change in Monthly Cost'"
954092,"'BW per Student'"
954123,"'BW per Student'"
954124,"'% Change in Monthly Cost'"
954134,"'% Change in Monthly Cost'"
954135,"'% Change in Monthly Cost'"
954159,"'Change in Total BW'"
954160,"'BW per Student','% Change in Monthly Cost'"
954172,"'Change in Total BW'"
954194,"'% Change in Monthly Cost'"
954206,"'Change in Total BW'"
959606,"'Monthly Cost per Mbps','% Change in Monthly Cost'"
959613,"'BW per Student'"
959619,"'Change in Total Monthly Cost','Monthly Cost per Mbps'"
962263,"'BW per Student','Change in Total Monthly Cost','% Change in Monthly Cost'"
962295,"'Cost Per Circuit'"
962315,"'% Change in Monthly Cost','Change in Total Monthly Cost'"
965861,"'Cost Per Circuit'"
965996,"'Change in Total Monthly Cost','% Change in Monthly Cost'"
966053,"'Cost Per Circuit','Cost Per Circuit'"
967049,"'BW per Student'"
967059,"'% Change in Monthly Cost'"
967060,"'Monthly Cost per Mbps'"
967069,"'Change in Total BW','% Change in Monthly Cost'"
967071,"'% Change in Monthly Cost'"
967073,"'BW per Student'"
967078,"'% Change in Monthly Cost'"
967090,"'% Change in Monthly Cost'"
967097,"'% Change in Monthly Cost','Monthly Cost per Mbps'"
967100,"'% Change in Monthly Cost'"
967101,"'% Change in Monthly Cost'"
967103,"'% Change in Monthly Cost','Monthly Cost per Mbps'"
967142,"'% Change in Monthly Cost'"
967144,"'% Change in Monthly Cost'"
967147,"'% Change in Monthly Cost'"
967148,"'% Change in Monthly Cost'"
967153,"'% Change in Monthly Cost'"
967154,"'% Change in Monthly Cost'"
967180,"'% Change in Monthly Cost'"
967190,"'Change in Total Monthly Cost'"
967205,"'% Change in Monthly Cost'"
967207,"'BW per Student'"
967208,"'Monthly Cost per Mbps'"
967209,"'% Change in Monthly Cost'"
967216,"'% Change in Monthly Cost'"
967222,"'% Change in Monthly Cost'"
967224,"'Change in Total BW'"
968674,"'Change in Total BW','BW per Student','Change in Total BW'"
968966,"'Cost Per Circuit'"
968970,"'Change in Total BW'"
969138,"'BW per Student'"
969160,"'BW per Student','Change in Total BW','Change in Total BW','% Change in BW'"
969168,"'Cost Per Circuit'"
969217,"'Cost Per Circuit'"
969293,"'Cost Per Circuit'"
969301,"'Cost Per Circuit'"
969372,"'Monthly Cost per Mbps'"
969376,"'Cost Per Circuit'"
969429,"'BW per Student'"
969450,"'Cost Per Circuit'"
969473,"'Change in Total BW','BW per Student'"
969479,"'BW per Student','Change in Total BW','Change in Total BW'"
969496,"'% Change in BW'"
969518,"'BW per Student'"
969594,"'BW per Student','% Change in BW'"
969595,"'BW per Student'"
969606,"'Cost Per Circuit'"
969659,"'% Change in Monthly Cost'"
969709,"'% Change in BW'"
969721,"'Cost Per Circuit'"
969724,"'BW per Student'"
969787,"'Cost Per Circuit'"
969789,"'% Change in BW'"
969864,"'Cost Per Circuit'"
969883,"'% Change in BW'"
969917,"'Monthly Cost per Mbps'"
